"Alert Email Sender","Upozori pošiljatelja email-a"
"Click here not to receive alerts for this product","Klikni ovdje da ne primate upozorenja o proizvodu"
"Error Email Recipient","Greška na email primatelju"
"Error Email Sender","Greška na email pošiljatelju"
"Error Email Template","Greška na email predlošku"
"Frequency","Učestalost"
"Price:","Cijena:"
"Product Alerts","Upozorenja o proizvodima"
"Product Alerts Run Settings","Postavke rada upozorenja o proizvodima"
"Product price alert","Upozorenja o cijeni proizvoda"
"Product stock alert","Upozorenje o dostupnosti proizvoda"
"Regular Price:","Standardna cijena:"
"Sign up for price alert","Predbilježite se za obavjesti o promjeni cijena proizvoda"
"Sign up to get notified when this product is back in stock","Predbilježite se za obavjesti o ponovnoj dostupnosti proizvoda"
"Special price:","Specijalna cijena:"
"Start Time","Početno vrijeme"
"Unsubscribe from all price alerts","Ukini primanje upozorenja o cijenama"
"Unsubscribe from all stock alerts","Ukini primanje upozorenja o dostupnosti"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Primate ovu obavijest jer ste se prijavili na primanje upozorenja o ponovnoj dostupnosti proizvoda:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Primate ovu obavijest jer ste se prijavili na primanje upozorenja o promjeni cijena slijedećih proizvoda:"
