"API Password","API lozinka"
"API Signature","API potpis"
"Address","Adresa"
"Authorization","Autorizacija"
"Billing Information","Informacije o plaćanju"
"City","Grad"
"Close","Zatvori"
"Company","Poduzeće"
"Configure","Konfiguriraj"
"Continue","Nastavi"
"Country","Država"
"Custom","Prilagođeno"
"Daily","Dnevno"
"Discount","Popust"
"Edit","Uredi"
"Edit Shopping Cart","Ažuriraj potrošačku košaricu"
"Email Address","Adresa elektroničke pošte"
"Enabled","Omogućeno"
"Fax","Faks"
"Items in Your Shopping Cart","Stavke u vašoj košarici"
"Learn More","Detaljnije"
"Login","Prijava"
"Never","Nikad"
"No","Ne"
"Order","Narudžba"
"Password","Lozinka"
"Payment Action","Payment akcija"
"Payment Method","Način plaćanja"
"Place Order","Pošalji narudžbu"
"Please select a shipping method...","Molim, odaberite način dostave ..."
"Please select region, state or province","Molimo odaberite regiju ili županiju"
"Price","Cijena"
"Product","Proizvod"
"Product Name","Naziv proizvoda"
"Qty","Kol"
"Reports","Izvještaji"
"Review Order","Pregledajte narudžbu"
"Sale","Prodaja"
"Shipping","Pošiljka"
"Shipping Address","Adresa dostave"
"Shipping Information","Informacije o dostavi"
"Shipping Method","Način dostave"
"Size","Dimenzije"
"Sorry, no quotes are available for this order at this time.","Žao nam je, za sada nema dostupnih procjena za ovu narudžbu."
"Sort Order","Redosljed sortiranja"
"State/Province","Regija/pokrajina"
"Static","Statičko"
"Street Address","Adresa"
"Submitting order information...","Šaljem informacije o narudžbi..."
"Subtotal","Ulupno"
"Telephone","Telefon"
"Title","Naslov"
"Update Shipping Method","Ažuriraj način dostave"
"User","Korisnik"
"View","Pregled"
"Void","Poništi"
"Yes","Da"
"Zip/Postal Code","Poštanski broj"
