"# of Uses","# korištenja"
"Action","Akcija"
"Add New Tag","Dodajte novu oznaku"
"Add Tags","Dodajte oznake"
"Add Your Tags:","Dodajte vaše oznake:"
"Add to Cart","Stavi u košaricu"
"Add to Wishlist","Dodaj u listu želja"
"All Tags","Svi tagovi"
"Approved","Odobreno"
"Are you sure you want to delete this tag?","Sigurno želite obrisati ovu oznaku?"
"Are you sure you want to do this?","Jeste li sigurni da želite ovo?"
"Are you sure?","Jeste li sigurni?"
"Back","Natrag"
"Back to Tags List","Natrag na listu oznaka"
"Change status","Promijeni status"
"Click on a tag to view your corresponding products.","Kliknite na oznaku da vidite odgovarajući proizvod"
"Country","Država"
"Customer Since","Korisnik od"
"Customers","Kupci"
"Customers Tagged '%s'","Označeno od kupca '%s'"
"Delete","Obriši"
"Delete Tag","Obriši oznaku"
"Disabled","Isključen"
"Edit Tag '%s'","Ažuriraj oznaku '%s'"
"Email","email"
"First Name","Ime"
"General Information","Opće informacije"
"Grid","tablično"
"Last Name","Prezime"
"List","redno"
"My Recent Tags","Moje nedavne oznake"
"My Tags","Moje oznake"
"Name","Naziv"
"New Tag","Novi tag"
"No matches found.","Nije pronađeno."
"Other people marked this product with these tags:","Drugi ljudi su označili ovaj proizvod sa slijedećim oznakama:"
"Pending","U tijeku:"
"Pending Tags","Oznake u tijeku potvrde"
"Popular","Popularno"
"Popular Tags","Popularni tagovi"
"Price","Cijena"
"Product Name","Naziv proizvoda"
"Product SKU","Proizvod SKU"
"Product Tags","Tagovi proizvoda"
"Products","Proizvodi"
"Products Tagged with '%s'","Proizvodi označeni sa '%s'"
"Products tagged with '%s'","Proizvodi označeni sa '%s'"
"Remove","Ukloni"
"Save Tag","Spremi oznaku"
"Store View","Izlog"
"Tag","Oznaka"
"Tag Name","Ime tag-a"
"Tags","Tagovi"
"Tags:","Oznake:"
"Telephone","Telefon"
"Unable to remove tag. Please, try again later.","Nije moguće obrisati oznaku. Molimo Vas da pokušate kasnije."
"Update","Ažuriraj"
"Use spaces to separate tags. Use single quotes (') for phrases.","Korisnite razmaknicu za odvajanje oznaka. Koristite jednostruke navodnike ('') za izraze."
"View All Tags","Pregledaj sve oznake"
"View Customers","Pregledaj kupce"
"View Products","Pregledaj proizvode"
"You have not tagged any products yet.","Niste označiti još niti jedan proizvod"
"ZIP/Post Code","Poštanski broj"
