"# of Items (and above)","# stavki (ili više)"
"# of Items vs. Destination","# stavki vs. Destinacija"
"Calculate Handling Fee","Izračunaj manipulativne troškove"
"Carrier:","Prijevoznik:"
"City","Grad"
"Close Window","Zatvori prozor"
"Condition","Uvjeti"
"Country","Država"
"Custom Value","Prilagođena vrijednost"
"Delivered on:","Isporučeno na dan:"
"Delivered to:","Isporučeno:"
"Description","Opis"
"Displayed Error Message","Prikazana poruka o grešci"
"Enabled","Omogućeno"
"Error:","Greška:"
"Export","Izvezi"
"Flat Rate","Paušal"
"Handling Fee","Manipulativni troškovi"
"Import","Uvoz"
"Invalid Table Rate code for type %s: %s","Neispravan tablični kod za tip %s: %s"
"Invalid Table Rate code type: %s","Neispravan tip tabličnog koda: %s"
"Local Time","Lokalno vrijeme"
"Location","Lokacija"
"None","Nema"
"Options","Opcija"
"Origin","Porijeklo"
"Per Order","Po narudžbi"
"Per Package","Pop paketu"
"Price","Cijena"
"Price vs. Destination","Cijena vs. Destinacija"
"Region/State","Regija/županija"
"Service Type:","Tip usluge:"
"Shipment #","Otpremnica #"
"Shipped or billed on:","Otpremljen ili fakturiran na:"
"Shipping Methods","Načini dostave"
"Shipping Settings","Postavke dostave"
"Signed by:","Potpisan od:"
"Sort Order","Redosljed sortiranja"
"Store Pickup","Preuzimanje u trgovini"
"Street Address","Adresa"
"There is no tracking available for this shipment.","Nije dostupno praćenje za tu pošiljku."
"There is no tracking available.","Nije dostupno praćenje."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Ovaj način slanja nije dostupan. Ako želite koristiti ovaj način slanja, molim kontaktirajte nas."
"Title","Naslov"
"Track:","Prati:"
"Tracking Number:","Broj za praćenje:"
"Tracking information is currently not available. Please ","Podaci o praćenju trenutno nisu dostupni. Molim "
"Tracking information is currently unavailable.","Podaci o praćenju su trenutno nedostupni."
"Type","Tip"
"Weight (and above)","Težina (ili iznad toga)"
"Weight vs. Destination","Težina vs. Destinacija"
"Weight:","Težina:"
"ZIP/Postal Code","Poštanski broj"
"contact us","kontaktirajte nas"
