"-- Please Select --","-- Izaberite --"
"Add Store Code to Urls","Dodaj kod trgovine u URL"
"Advanced","Napredno"
"Allowed IPs (comma separated)","Dozvoljene ove IP adrese (odvojeno zarezom)"
"Are you sure?","Jeste li sigurni?"
"Back","Natrag"
"Base JavaScript URL","Osnovni JavaScript URL"
"Base Link URL","Osnovni Link URL"
"Base Media URL","Osnovni Media URL"
"Base Skin URL","Osnovni Skin URL"
"Base URL","Osnovni URL"
"Block with name ""%s"" already exists","Blok s imenom ""%s"" već postoji"
"Can't retrieve request object","Nemogu dohvatiti traﾞeni objekt"
"Can't retrieve entity config: %s","Ne mogu dohvatiti konfiguraciju entiteta: %s"
"Cancel","Poništi"
"Code","Kod"
"Controller file was loaded but class does not exist","Kontroler datoteka je učitana ali klasa ne postoji"
"Cookie Domain","Cookie domena"
"Cookie Lifetime","Cookie životni vijek"
"Cookie Path","Cookie staza"
"Country","Država"
"Create Store","Kreiraj trgovinu"
"Create Store View","Kreiraj izlog trgovine"
"Create Website","Kreiraj web stranicu"
"Custom Design","Prilagođeni dizajn"
"Dashboard","Upravljačka ploča"
"Date From","Datum od"
"Default Pages","Osnovne stranice"
"Default Store","Osnovna trgovina"
"Default Store View","Osnovni izlog trgovine"
"Delete","Obriši"
"Delete Store","Obriši trgovinu"
"Delete Store View","Obriši izlog"
"Delete Website","Obriši web stranicu"
"Design","Dizajn"
"Design Change","Promjena dizajna"
"Edit Store","Izmjeni trgovinu"
"Edit Store View","Ažuriraj izlog"
"Edit Website","Uredi web stranicu"
"Enabled","Omogućeno"
"Enabled for Admin","Omogućeno za Admin-a"
"Enabled for Frontend","Omogućeno za vanjsko sučelje"
"Error in file: ""%s"" - %s","Greška u datoteci: ""%s"" - %s"
"General","Općenito"
"Invalid base url type","Neispravan osnovni url tip"
"Invalid block type: %s","Neispravan tip bloka: %s"
"Invalid block: %s","Neispravan blok: %s"
"Layout","Razmještaj"
"Locale","Lokalni"
"Manage Stores","Upravljaj trgovinama"
"Name","Naziv"
"New Design Change","Nova promjena dizajna"
"New Store","Nova trgovina"
"New Store View","Novi izlog"
"New Website","Nova web stranica"
"No","Ne"
"Package","Paket"
"Please enter a number greater than 0 in this field.","Molim unesite broj veći od 0 u ovo polje."
"Please enter a valid $ amount. For example $100.00.","Molim unesite ispravnu vrijednost. Npr. 100.00 Kn."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Molim unesite ispravan URL. Na primjer: http://www.example.com ili www.example.com"
"Please enter a valid credit card number.","Molim unesite ispravan broj kreditne kartice."
"Please enter a valid date.","Molim unestite ispravan datum."
"Please enter a valid email address. For example johndoe@domain.com.","Molim unesite ispravnu email adresu. Na primjer: ime.prezime@zg.t-com.hr."
"Please enter a valid number in this field.","Molim unesite ispravan broj u ovo polje."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Molim unesite ispravan telefonski broj. Na primjer (01) 1234-567"
"Please enter a valid social security number. For example 123-45-6789.","Molimo unesite broj osobne iskaznice. Npr 123456789."
"Please enter a valid zip code.","Molim unesite ispravan poštanski broj."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Molim unesite ispravan poštanski broj. Na primjer 10020 ili 21000."
"Please make sure your passwords match.","Molim provjerite podudaraju li se vaše lozinke."
"Please select State/Province.","Molim odaberite županiju."
"Please select an option.","Molim odaberite opciju."
"Please select one of the above options.","Molim odaberite jednu ili više gore ponuđenih opcija."
"Please select one of the options.","Molim odaberite jednu od opcija."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Molim, koristite samo slova (a-z) ili donju crtu (_) u ovom polju. Prvi znak treba biti slovo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Molim koristite slijedeći format za datum: dd/mm/yyyy. Na primjer: 17/03/2009 za 17 ožujak 2009."
"Please wait, loading...","Molim pričekajte, učitava se..."
"Root Category","Osnovna kategorija"
"Save","Spremi"
"Save Store","Spremi trgovinu"
"Save Store View","Spremi izlog trgovine"
"Save Website","Spremi web stranicu"
"Search Engines Optimization","Optimiranje za programe za pretraživanje"
"Select Date","Odaberite datum"
"Sender Email","Email pošiljatelja"
"Sender Name","Ime pošiljatelja"
"Services","Usluge"
"Sort Order","Redosljed sortiranja"
"Store","Trgovina"
"Store Email Addresses","Email adresa trgovine"
"Store Information","Informacije o trgovini"
"Store Name","Ime trgovine"
"Store View","Izlog"
"Store View Information","Informacije o izlogu trgovine"
"Store View Name","Naziv izloga trgovine"
"Store with the same code","Trgovina s istim ID-em"
"System","Sistem"
"Template Path Hints","Prijedlozi za putanju predloska"
"Templates","Predlošci"
"Themes","Teme"
"This category only","Samo kategorija"
"This is a required field.","Ovo polje je obavezno."
"Timezone","Vremenska zona"
"Transactional Emails","E-mail adrese za transakcije"
"Translations","Prijevodi"
"Url Options","Url opcije"
"None","Nema"
"Use Secure URLs in Admin","Koristi sigurne URL-ove u administratorskom web sučelju"
"Use Secure URLs in Frontend","Koristi sigurne URL-ove u webshop-u"
"Use Web Server Rewrites","Koristi webserver 'rewrite' opciju"
"Website","Web stranica"
"Website Information","Informacije o web stranici"
"Website Name","Naziv web stranice"
"Website with the same code","Web stranica s istim ID-em"
"Wrong number of arguments for %s","Krivi broj argumenata za %s"
"Yes","Da"
"Frontend","Vanjsko sučelje"
