"%s's Wishlist","%s's lista želja"
"* Required Fields","* Obavezna polja"
"Add All to Cart","Dodaj sve u košaricu"
"Add to Cart","Stavi u košaricu"
"Add to Compare","Dodaj za usporedbu"
"Add to Wishlist","Dodaj u listu želja"
"Added From","Dodano iz"
"Are you sure you want to remove this product from your wishlist?","Da li ste sigurni da ovaj proizvod želite maknuti s vaše liste želja?"
"Are you sure you would like to remove this item from the wishlist?","Da li ste sigurni da ovaj proizvod želite maknuti s vaše liste želja?"
"Back","Natrag"
"Can't save description %s","Ne mogu spremiti opis %s"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Obilježite ovu kućicu ako želite dodati link na rss feed na vašu listu želja.."
"Comment","Poruka"
"Days in Wishlist","Dana u Listi želja"
"Edit","Uredi"
"Email Sender","Email pošiljatelj"
"Email Template","Email predložak"
"Email address can't be empty.","Email adresa ne može biti prazna"
"Email addresses, separated by commas","Email adrese, odvojene zarezima"
"Enabled","Omogućeno"
"General Options","Glavni izbornik"
"Go to Wishlist","Idi na listu želja"
"In stock","Na skladištu"
"Last Added Items","Zadnji dodani artikl"
"My Wishlist","Moja lista želja"
"My Wishlist (%d item)","Moja lista želja (%d artikl)"
"My Wishlist (%d items)","Moja lista želja (%d artikli)"
"Out of stock","Nema na skladištu"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Molimo da upišete ispravne email adrese, odvojene zarezima. Naprimjer: milahorvat@domena.com, ivanhorvat@domena.com."
"Please, enter your comments...","Molimo, unesite vaše komentare..."
"Price","Cijena"
"Product","Proizvod"
"Qty","Kol"
"RSS link to %s's wishlist","RSS link %s's listi želja"
"Remove Item","Uklonite artikl"
"Remove This Item","Ukloni ovu stavku"
"Share Wishlist","Podijeli listu želja s drugim"
"Share Your Wishlist","Podijeli vašu listu želja s drugim"
"Sharing Information","Informacija dijeljenja"
"Update Wishlist","Osvježi listu želja"
"View Details","Prikaži detalje"
"View Product","Vidi artikl"
"What's this?","Što je ovo?"
"Wishlist","Lista želja"
"Wishlist Sharing","Dijeljenje liste želja"
"Wishlist is empty now.","Lista želja je trenutno prazna."
"You have no items in your wishlist.","Nemate artikala na listi želja."
