"* Required Fields","* Obavezna polja"
"Add New Address","Dodaj novu adresu"
"Add to Cart","Stavi u košaricu"
"Add to Compare","Dodaj za usporedbu"
"Add to Wishlist","Dodaj u listu želja"
"Address","Adresa"
"Address %s of %s","Adresa %s od %s"
"Allow Guest Checkout","Dopusti naplatu Gostu"
"Already registered?","Već ste registrirani?"
"Apply","Primjeni"
"Apply Coupon","Iskoristite kupon"
"Are you sure you would like to remove this item from the shopping cart?","Jeste li sigurni da želiti ukloniti ovaj artikl iz košarice?"
"Back","Natrag"
"Back to Shipping Information","Povratak na informacije o transportu"
"Based on your selection, you may be interested in the following items:","Možda će vas zanimati i sljedeći artikli:"
"Billing Address","Informacije o plaćanju"
"Billing Information","Informacije o plaćanju"
"Billing Information - %s","Informacije o plaćanju - %s"
"Cancel","Poništi"
"Cancel Coupon","Otkaži kupon"
"Cart Subtotal:","Ukupno:"
"Change","Promijeni"
"Change Billing Address","Promijeni adresu na računu"
"Checkout","Naplata"
"Checkout Options","Opcije naplate"
"Checkout as Guest","Naplata kao Gost"
"Checkout as a Guest or Register","Izvršite plaćanje kao Gost ili se registrirajte"
"Checkout with Multiple Addresses","Naplata uz višestruke adrese"
"City","Grad"
"Close","Zatvori"
"Company","Poduzeće"
"Confirm Password","Potvrdi lozinku"
"Continue","Nastavi"
"Continue Shopping","Nastavi kupnju"
"Continue to Billing Information","Nastavi s informacijama o plaćanju"
"Continue to Review Your Order","Nastavite s pregledom vaše narudžbe"
"Continue to Shipping Information","Nastavi s informacijama o transportu"
"Country","Država"
"Coupon code ""%s"" is not valid.","Kupon ""%s""nije ispravan."
"Create Billing Address","Kreiraj adresu plaćanja"
"Create Shipping Address","Kreiraj adresu isporuke"
"Customer Information","Podaci o korisnika"
"Data saving problem","Problem sa snimanjem podataka"
"Default Billing","Uobičajena naplata"
"Default Shipping","Uobičajena dostava"
"Disabled","Isključen"
"Discount Codes","Kodovi za popust"
"Display Cart Summary","Prilaži sažetak košarice"
"Display item quantities","Prikaži količine artikala"
"Display number of items in cart","Prikaži broj artikala u košarici"
"Easy access to your order history and status","Brzi pristup vašoj arhivi narudžbi i statusu"
"Edit","Uredi"
"Edit Address","Promijeni adresu "
"Edit Billing Address","Promijeni adresu na računu"
"Edit Items","Promijeni artikle"
"Edit Shipping Address","Promijeni adresu za isporuku"
"Edit Terms and Conditions","Uredi Opće uvjete"
"Edit Your Cart","Promijeni košaricu"
"Email Address","Adresa elektroničke pošte"
"Enabled","Omogućeno"
"Enter a New Address","Unesi novu adresu"
"Enter your coupon code if you have one.","Unesite broj kupona ako ga imate."
"Enter your destination to get a shipping estimate.","Ukoliko želite napraviti procjenu troškova dostave – ovdje unesite odredišnu adresu."
"Estimate Shipping and Tax","Procjena troškova dostave"
"Fast and easy check out","Brza i jednostavna naplata"
"Fax","Faks"
"Forgot an Item?","Zaboravili ste neki artikl?"
"Forgot your password?","Zaboravili ste lozinku?"
"Get a Quote","Napravite procjenu"
"Grand Total:","Sveukupno:"
"Invalid shipping method.","Neispravan način dostave."
"Items","Stavke"
"Load customer quote error","Greška pri učitavanju procjene"
"Loading next step...","Učitavam slijedeći korak..."
"Login","Prijava"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimalna količina dozvoljena za dostavu na više adresa je %s"
"Move to Wishlist","Prebaci na listu želja"
"My Cart (%s item)","Moja košarica (%s artikl)"
"My Cart (%s items)","Moja košarica (%s artikala)"
"My Cart Link","Link na Moju košaricu"
"New Address","Nova adresa"
"No Payment Methods","Nema načina plaćanja"
"Order Review","Pregled narudžbe"
