"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel"
"Alphabetical","Alphabetisch"
"Alphanumeric","Alphanumerisch"
"Apply","Anwenden"
"Apply To","Anwenden auf"
"Apply to Shipping Amount","Auf Versandbetrag anwenden"
"Are you sure you want to delete the selected coupon(s)?","Sind Sie sicher, dass Sie die ausgewählte Gutscheine löschen möchten?"
"Auto","Automatisch"
"Auto Generated Specific Coupon Codes","Automatisch erstellte Rabattcodes"
"Buy X get Y free (discount amount is Y)","X kaufen, Y kostenlos bekommen (Rabattbetrag ist Y)"
"By Fixed value","Um festen Wert"
"By Percentage","Um einen Prozentsatz"
"Can't acquire coupon.","Kann Gutschein nicht erstellen."
"Cart Attribute","Warenkorbattribut"
"Catalog","Katalog"
"Code Format","Code-Format"
"Code Length","Codelänge"
"Code Prefix","Code Präfix"
"Code Suffix","Code-Suffix"
"Conditions","Bedingungen"
"Conditions combination","Bedingungskombination"
"Coupon","Rabattcode"
"Coupon Code","Rabattcode"
"Coupon Qty","Coupon Menge"
"Coupon with the same code","Rabattcode mit dem gleichen Code"
"Created On","Erstellt am"
"Customer Groups","Kundengruppen"
"Dash Every X Characters","Bindestrich nach jedem x-ten Zeichen"
"Default Label","Standard-Beschriftung"
"Default Rule Label for All Store Views","Standard-Regel-Bezeichnung für alle StoreViews"
"Description","Beschreibung"
"Discount Amount","Rabattbetrag"
"Discount Qty Step (Buy X)","Rabatt-Mengenschritt (X kaufen)"
"Edit Rule","Regel bearbeiten"
"Excluding prefix, suffix and separators.","Ohne Präfix, Suffix und Trennzeichen."
"FOUND","GEFUNDEN"
"Fixed amount discount","Fester Rabattbetrag"
"Fixed amount discount for whole cart","Fester Rabattbetrag für den gesamten Warenkorb"
"For matching items only","Nur für übereinstimmende Artikel"
"For shipment with matching items","Für Versand mit übereinstimmenden Artikeln"
"Free Shipping","Versandkostenfrei"
"General Information","Allgemeine Information"
"Generate","Erstellen"
"ID","Id"
"If empty no separation.","Wenn leer, dann keine Trennung."
"Inactive","Inaktiv"
"Labels","Bezeichnungen"
"Maximum Qty Discount is Applied To","Maximale Anzahl, auf die der Rabatt angewendet wird"
"NOT FOUND","NICHT GEFUNDEN"
"NOT LOGGED IN","NICHT ANGEMELDET"
"New Rule","Neue Regel"
"No","Nein"
"No Coupon","Ohne Rabattcode"
"Number of Uses","Anzahl der Verwendungen"
"Numeric","Numerisch"
"Payment Method","Zahlungsart"
"Percent of product price discount","Prozentualer Rabatt je Artikel"
"Period","Zeitraum"
"Price in cart","Preis im Warenkorb"
"Priority","Priorität"
"Product attribute combination","Artikelattribut-Kombination"
"Products subselection","Artikel-Unterauswahl"
"Promotions","Preisregeln"
"Public In RSS Feed","Im öffentlichen RSS-Feed anzeigen"
"Quantity in cart","Menge im Warenkorb"
"Row total in cart","Positionssumme im Warenkorb"
"Rule Information","Regelinformationen"
"Rule Name","Regelname"
"Rule is not defined","Regel ist nicht definiert"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Shipping Country","Versandland"
"Shipping Method","Versandart"
"Shipping Postcode","Versand-Postleitzahl"
"Shipping Region","Versandregion"
"Shipping State/Province","Versand-Bundesland"
"Special Price","Sonderpreis"
"Specific Coupon","Nur mit angegebenem Rabattcode"
"Store View Specific Labels","Store View spezifische Bezeichnungen"
"Subtotal","Zwischensumme"
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"Times Used","Anzahl Verwendungen"
"To Fixed Value","Auf einen festen Wert"
"To Percentage","Auf einen Prozentsatz"
"Total","Gesamtsumme"
"Total Amount","Gesamtbetrag"
"Total Items Quantity","Artikelgesamtmenge"
"Total Weight","Gesamtgewicht"
"Update the Product","Produkt aktualisieren"
"Use Auto Generation","Assistent zur Erstellung nutzen"
"Used","Verwendet"
"Uses per Coupon","Verwendungen pro Rabattcode"
"Uses per Customer","Verwendungen pro Kunde"
"Website","Webseite"
"Websites","Webseiten"
"Yes","Ja"
"total amount","Gesamtsumme"
"total quantity","Gesamtmenge"
