"* Required Fields","* Pflichtfelder"
"-- Select --","--Auswählen--"
"Add New Option","Neue Option hinzufügen"
"As Low as","Nur"
"As low as","Ab"
"Bundle Items","Bündel-Artikel"
"Checkbox","Auswahlfeld (Checkbox)"
"Choose a selection...","Treffen Sie eine Auswahl..."
"Click for price","Klicken für Preis"
"Close","Schließen"
"Default","Voreinstellung"
"Default Qty","Standardmenge"
"Default Title","Standardtitel"
"Drop-down","Dropdown-Liste"
"Dynamic","Dynamisch"
"Excl. Tax","Exkl. Steuern"
"Fixed","Festkosten"
"From","Von"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Incl. Tax","Inkl. MwSt."
"Input Type","Eingabetyp"
"Is Required","Ist erforderlich"
"Message:","Nachricht:"
"Multiple Select","Mehrfach Auswahl"
"N/A","Keine Angabe"
"No options of this product are available.","Für diesen Artikel sind keine Optionen verfügbar."
"None","Keine"
"Percent","Prozent"
"Percent Discount","Prozent Rabatt"
"Please Select Products to Add","Bitte wählen Sie Produkte zum Hinzufügen"
"Please enter a number greater 0 in this field.","In diesem Feld bitte eine Zahl größer 0 eingeben."
"Please specify product option(s).","Bitte Produktoption(en) angeben."
"Position","Reihenfolge"
"Price Range","Preisbereich"
"Price Type","Preistyp"
"Qty:","Menge:"
"Radio Buttons","Optionsfelder (Radio Buttons)"
"SKU","Artikelnummer"
"Separately","Separat"
"Ship Bundle Items","Paket-Artikel versenden"
"Shipment","Versand"
"Store View Title","Titel des Store View"
"To","Bis"
"To:","Bis:"
"Together","Zusammen"
"Use Default Value","Standardwert verwenden"
"save","Speichern"
