" [deleted]"," [gelöscht]"
"* Required Fields","* Pflichtfelder"
"-- Please Select --","-- Bitte wählen --"
"-- Please Select Billing Agreement--","-- Bitte Zahlungsvereinbarung auswählen --"
"-- Please Select a Category --","--Bitte wählen--"
"-- Please select --","--Bitte auswählen--"
"--Please Select--","-- Bitte wählen --"
"1 Hour","1 Stunde"
"12 Hours","12 Stunden"
"2 Hours","2 Stunden"
"24 Hours","24 Stunden"
"2YTD","Zweijahresverlauf"
"6 Hours","6 Stunden"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404-Fehler</h1><p>Seite nicht gefunden.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Achtung</strong>: Groß-/Kleinschreibung des Captcha beachten."
"A user with the same user name or email already exists.","Es besteht bereits ein Benutzer mit diesem Benutzernamen oder dieser E-Mail-Adresse."
"API Key","API-Schlüssel"
"Abandoned Carts","Nicht bestellte Warenkörbe"
"About the calendar","Über den Kalender"
"Account Created in:","Kundenkonto angelegt in:"
"Account Information","Kontoinformation"
"Account Status","Kontostatus"
"Action","Aktion"
"Actions","Aktionen"
"Active","Aktiv"
"Add","Hinzufügen"
"Add New","Neu"
"Add New Block","Neuen Block hinzufügen"
"Add New Image","Neues Bild hinzufügen"
"Add New Role","Neue Rolle hinzufügen"
"Add New Template","Neue Vorlage"
"Add New URL Rewrite","URL-Rewrite hinzufügen"
"Add New User","Neuen Benutzer hinzufügen"
"Add New Variable","Neue Variable hinzufügen"
"Add Products","Artikel hinzufügen"
"Add URL Rewrite","URL-Rewrite hinzufügen"
"Add URL Rewrite for a Category","URL Rewrite für eine Kategorie hinzufügen"
"Add URL Rewrite for a Product","URL Rewrite für ein Produkt hinzufügen"
"Add after","Einfügen nach"
"Additional Cache Management","Zusätzliche Cache-Verwaltung"
"Admin","Administrator"
"All","Alle"
"All Allowed Countries","Alle erlaubten Länder"
"All Cache","Gesamter Cache"
"All Files","Alle Dateien"
"All Reviews","Alle Rezensionen"
"All Store Views","Alle Store Views"
"All Websites","Alle Webseiten"
"All countries","Alle Länder"
"All valid rates have been saved.","Alle gültigen Kurse wurden gespeichert."
"Always (during development)","Immer (während der Entwicklung)"
"Amounts","Mengen"
"An error occurred while clearing the JavaScript/CSS cache.","Fehler beim Löschen des JavaScript/CSS Cache."
"An error occurred while clearing the image cache.","Ein Fehler ist beim Leeren des Bildcaches aufgetreten."
"An error occurred while deleting this role.","Beim Löschen der Rolle trat ein Fehler auf."
"An error occurred while saving account.","Beim speichern des Kontos ist ein Fehler aufgetreten."
"An error occurred while saving this role.","Beim Speichern der Rolle trat ein Fehler auf."
"Any","Jeder"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Assigned","Zugewiesen"
"Attributes","Attribute"
"Authorize","Autorisieren"
"Automatic (equalize price ranges)","Automatisch (Preisbereiche angleichen)"
"Automatic (equalize product counts)","Automatisch (Produktanzahlen angleichen)"
"Back","Zurück"
"Backup","Sicherung"
"Backup Name","Name der Sicherung"
"Backup options","Sicherungsoptionen"
"Backups","Sicherungen"
"Base currency","Basiswährung"
"Bestsellers","Bestseller"
"Billing Address","Rechnungsadresse"
"Billing Address: ","Rechnungsadresse: "
