"All Websites","ಎಲ್ಲಾ ಜಾಲತಾಣಗಳು"
"Display Prices In Emails","ಮಿಂಚೆಯಲ್ಲಿ ದರಗಳನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Prices In Product Lists","ಉತ್ಪನ್ನಗಳ ಪಟ್ಟಿಯಲ್ಲಿ ದರಗಳನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Prices In Sales Modules","ಮಾರಾಟ ಮಾಡ್ಯೂಲುಗಳಲ್ಲಿ ಬೆಲೆಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Prices On Product View Page","ಉತ್ಪನ್ನಗಳ ನೋಟದ ಪುಟದಲ್ಲಿ ದರಗಳನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Enable FPT","FPT ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Excluding FPT","FPT ರಹಿತ"
"Fixed Product Tax","ಉತ್ಪನ್ನದ ಸ್ಥಿರ ತೆರಿಗೆಗಳು"
"Fixed Product Taxes","ಉತ್ಪನ್ನದ ಸ್ಥಿರ ತೆರಿಗೆಗಳು"
"Include FPT In Subtotal","ಉಪಮೊತ್ತದಲ್ಲಿ FPT ಅನ್ನು ಸೇರಿಸಿ"
"Including FPT and FPT description","FPT ಮತ್ತು FPT ವಿವರಣೆ ಸಹಿತ"
"Including FPT only","FPT ಸಹಿತ ಮಾತ್ರ"
"Total","ಒಟ್ಟು ಮೊತ್ತ"
"Total Incl. Tax","ತೆರಿಗೆ ಸಹಿತ ಒಟ್ಟು ಮೊತ್ತ"
"Total:","ಒಟ್ಟು ಮೊತ್ತ:"
