"Add Your Review","ನಿಮ್ಮ ವಿಮರ್ಶೆಯನ್ನು ಸೇರಿಸಿ"
"Administrator","ನಿರ್ವಾಹಕ"
"All Reviews","ಎಲ್ಲಾ ವಿಮರ್ಶೆಗಳು"
"Approved","ಅನುಮೋದಿಸಿದೆ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Back","ಹಿಂದೆ"
"Back to My Reviews","ನನ್ನ ವಿಮರ್ಶೆಗಳಿಗೆ ಹಿಂದಿರುಗಿ"
"Back to Product Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳಿಗೆ ಹಿಂದಿರುಗಿ"
"Be the first to review this product","ಈ ಉತ್ಪನ್ನವನ್ನು ವಿಮರ್ಶಿಸುವಲ್ಲಿ ಮೊದಲಿಗರಾಗಿ"
"Created On","ರಚಿಸಿದ ದಿನಾಂಕ"
"Customer","ಗ್ರಾಹಕರು"
"Customer Reviews","ಗ್ರಾಹಕರ ವಿಮರ್ಶೆಗಳು"
"Customers Reviews","ಗ್ರಾಹಕರ ವಿಮರ್ಶೆಗಳು"
"Delete","ಅಳಿಸಿ"
"Delete Review","ವಿಮರ್ಶೆಯನ್ನು ಅಳಿಸಿ"
"Guest","ಅತಿಥಿ"
"My Product Reviews","ನನ್ನ ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"My Recent Reviews","ನನ್ನ ಇತ್ತೀಚಿನ ವಿಮರ್ಶೆಗಳು"
"Name","ಹೆಸರು"
"New Review","ಹೊಸ ವಿಮರ್ಶೆ"
"Nickname","ಅಡ್ಡಹೆಸರು"
"Not Approved","ಅನುಮೋದಿಸಿಲ್ಲ"
"Pending","ಬಾಕಿ ಇರುವ"
"Price","ದರ"
"Product","ಉತ್ಪನ್ನ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Product Rating","ಉತ್ಪನ್ನದ ಜನಪ್ರಿಯತೆ"
"Product Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Products Reviews","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆಗಳು"
"Qty","ಪರಿಮಾಣ"
"Review","ವಿಮರ್ಶೆ"
"Review Details","ವಿಮರ್ಶೆ ವಿವರಗಳು"
"Reviews","ವಿಮರ್ಶೆಗಳು"
"Save Review","ವಿಮರ್ಶೆಯನ್ನು ಉಳಿಸಿ"
"Status","ಸ್ಥಿತಿ"
"Submit Review","ವಿಮರ್ಶೆಯನ್ನು ಸಲ್ಲಿಸಿ"
"Summary of Review","ವಿಮರ್ಶೆಯ ಸಾರಾಂಶ"
"Title","ಶೀರ್ಷಿಕೆ"
"Type","ವಿಧ"
"Update Status","ಸ್ಥಿತಿಯನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"View Details","ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Websites","ಜಾಲ ತಾಣಗಳು"
"Write Your Own Review","ನಿಮ್ಮ ಸ್ವಂತ ವಿಮರ್ಶೆಯನ್ನು ಬರೆಯಿರಿ"
"You're reviewing:","ನೀವು ವಿಮರ್ಶಿಸುತ್ತಿದ್ದೀರಿ:"
