"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Admin","ನಿರ್ವಾಹಕ"
"Authorize","ದೃಢೀಕರಿಸಿ"
"Close","ಮುಚ್ಚಿರಿ"
"Created At","ರಚಿಸಿದ ದಿನಾಂಕ"
"Customer","ಗ್ರಾಹಕರು"
"Delete","ಅಳಿಸಿ"
"Disable","ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ"
"Disabled","ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ"
"Edit","ಸಂಪಾದಿಸಿ"
"Email","ಮಿಂಚೆ"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Enable","ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Key","ಕೀಲಿ"
"Login","ಲಾಗಿನ್"
"Name","ಹೆಸರು"
"Password","ಗುಪ್ತಪದ"
"Permissions","ಅನುಮತಿಗಳು"
"Role Name","ಹುದ್ದೆಯ ಹೆಸರು"
"Save","ಉಳಿಸಿ"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Status","ಸ್ಥಿತಿ"
"System","ವ್ಯವಸ್ಥೆ"
"User ID","ಬಳಕೆದಾರರ ID"
"User Name","ಬಳಕೆದಾರರ ಹೆಸರು"
"deleted","ಅಳಿಸಿದೆ"
