"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"--Please Select--","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Bank Transfer Payment","ಬ್ಯಾಂಕ್ ವರ್ಗಾವಣೆ ಪಾವತಿ"
"Card Verification Number","ಕಾರ್ಡಿನ ಪರಿಶೀಲನಾ ಸಂಖ್ಯೆ"
"Check / Money Order","ಚೆಕ್ / ಮನಿಯಾರ್ಡರ್"
"Credit Card Number","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ"
"Credit Card Type","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Credit Card Types","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ವಿಧ"
"Credit card type is not allowed for this payment method.","ಈ ಪಾವತಿ ವಿಧಾನಕ್ಕೆ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಬಳಸಲು ಅನುಮತಿ ಅನುಮತಿ ಇಲ್ಲ."
"Currency","ಕರೆನ್ಸಿ"
"Day","ದಿನ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Expiration Date","ಅವಧಿ ಅಂತ್ಯದ ದಿನಾಂಕ"
"Incorrect credit card expiration date.","ತಪ್ಪಾದ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಮಾನ್ಯತಾ ದಿನಾಂಕ."
"Instructions","ನಿರ್ದೇಶನಗಳು"
"Issue Number","ಇಶ್ಯೂ ಸಂಖ್ಯೆ"
"Maximum Order Total","ಗರಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Merchant ID","ವರ್ತಕರ ಐಡಿ"
"Minimum Order Total","ಕನಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"Month","ತಿಂಗಳು"
"New Order Status","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶದ ಸ್ಠಿತಿ"
"Password","ಗುಪ್ತಪದ"
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"Payment Methods","ಪಾವತಿ ವಿಧಾನಗಳು"
"Payment Methods Section","ಪಾವತಿ ವಿಧಾನಗಳ ವಿಭಾಗ"
"Payment Services","ಪಾವತಿ ಸೇವೆಗಳು"
"Payment from Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Payment from Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳಿಂದ ಪಾವತಿ"
"Please enter a valid credit card verification number.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಪರಿಶೀಲನಾ ಸಂಖ್ಯೆಯನ್ನು ನಮೂದಿಸಿ."
"Selected payment type is not allowed for billing country.","ಬಿಲ್ಲಿಂಗ್ ರಾಷ್ಟ್ರಕ್ಕೆ ಆರಿಸಿದ ಪಾವತಿ ವಿಧಾನ ಬಳಸಲು ಅನುಮತಿ ಇಲ್ಲ."
"Send Check to","ಚೆಕ್ ಅನ್ನು ಇವರಿಗೆ ಕಳುಹಿಸಿ"
"Send Check to:","ಚೆಕ್ ಅನ್ನು ಇವರಿಗೆ ಕಳುಹಿಸಿ:"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Start Date","ಪ್ರಾರಂಭದ ದಿನಾಂಕ"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro ಪ್ರಾರಂಭದ ದಿನಾಂಕೆ"
"Tax Amount","ತೆರಿಗೆ ಮೊತ್ತ"
"Test Mode","ಪರೀಕ್ಷಾ ಕ್ರಮ"
"Title","ಶೀರ್ಷಿಕೆ"
"What is this?","ಇದು ಏನು?"
"Year","ವರ್ಷ"
