"Click for price","ದರಕ್ಕಾಗಿ ಕ್ಲಿಕ್ ಮಾಡಿ"
"Discount","ರಿಯಾಯಿತಿ"
"Enable RSS","RSS ಸಕ್ರಿಯಗೊಳಿಸಿ"
"From:","ಇಂದ:"
"Get Feed","ಫೀಡ್ ಪಡೆಯಿರಿ‌"
"Gift Message","ಕೊಡುಗೆ ಸಂದೇಶ"
"Grand Total","ಒಟ್ಟು ಮೊತ್ತ"
"Low Stock Products","ಕಡಿಮೆ ದಾಸ್ತಾನಿನ ಉತ್ಪನ್ನಗಳು"
"Message:","ಸಂದೇಶ:"
"New Orders","ಹೊಸ ವ್ಯಾಪಾರಾದೇಶಗಳು"
"New Products","ಹೊಸ ಉತ್ಪನ್ನಗಳು"
"Order","ವ್ಯಾಪಾರಾದೇಶ"
"RSS Feeds","RSS ಫೀಡ್‍ಗಳು"
"Shipping &amp; Handling","ಸಾಗಾಣಿಕೆ &amp; ನಿರ್ವಹಣೆ"
"Special Products","ವಿಶೇಷ ಉತ್ಪನ್ನಗಳು"
"Subtotal","ಉಪಮೊತ್ತ"
"Tax","ತೆರಿಗೆ"
"To:","ಗೆ:"
"Top Level Category","ಮೇಲಂತಸ್ತಿನ ವಿಭಾಗ"
"Wishlist","ಇಚ್ಛಾಪಟ್ಟಿ"
