"Actions","ಕ್ರಿಯೆಗಳು"
"Active","ಸಕ್ರಿಯ"
"Add New Rule","ಹೊಸ ನಿಯಮವನ್ನು ಸೇರಿಸಿ"
"Alphabetical","ಅಕ್ಷರಸಂಕೇತಗಳು"
"Alphanumeric","ಅಕ್ಷರಾಂಕೆಗಳು"
"Apply","ಅನ್ವಯಿಸಿ"
"Apply To","ಗೆ ಅನ್ವಯಿಸುತ್ತದೆ"
"By Fixed value","ನಿಗದಿತ ದರದಂತೆ"
"Code Format","ಸಂಕೇತದ ಮಾದರಿ"
"Code Length","ಸಂಕೇತದ ಉದ್ದ"
"Code Prefix","ಸಂಕೇತದ ಪೂರ್ವಪ್ರತ್ಯಯ"
"Code Suffix","ಸಂಕೇತದ ಅಂತ್ಯಪ್ರತ್ಯಯ"
"Conditions","ನಿಯಮಗಳು"
"Coupon","ಕೂಪನ್"
"Coupon Code","ಕೂಪನ್ ಸಂಕೇತ"
"Created On","ರಚಿಸಿದ ದಿನಾಂಕ"
"Customer Groups","ಗ್ರಾಹಕರ ಗುಂಪುಗಳು"
"Default Label","ನಿಯೋಜಿತ ಲೇಬಲ್"
"Description","ವಿವರಣೆ"
"Discount Amount","ರಿಯಾಯಿತಿ ಮೊತ್ತ"
"Edit Rule","ನಿಯಮವನ್ನು ಸಂಪಾದಿಸಿ"
"For matching items only","ಹೊಂದಿಕೆಯಾಗುವ ವಸ್ತುಗಳಿಗೆ ಮಾತ್ರ"
"Free Shipping","ಉಚಿತ ರವಾನೆ"
"General Information","ಸಾಮಾನ್ಯ ಮಾಹಿತಿ"
"Generate","ಉತ್ಪಾದಿಸಿ"
"Inactive","ನಿಷ್ಕ್ರಿಯ"
"Labels","ಲೇಬಲ್"
"NOT LOGGED IN","ಲಾಗಿನ್ ಆಗಿಲ್ಲ"
"New Rule","ಹೊಸ ನಿಯಮ"
"No","ಇಲ್ಲ"
"Number of Uses","ಬಳಸಿದ ಸಂಖ್ಯೆ"
"Payment Method","ಪಾವತಿ ವಿಧಾನ"
"Priority","ಆದ್ಯತೆ"
"Promotions","ಜಾಹೀರಾತುಗಳು"
"Rule Information","ನಿಯಮದ ಮಾಹಿತಿ"
"Rule Name","ನಿಯಮದ ಹೆಸರು"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Shipping Method","ಸಾಗಾಣಿಕೆ ವಿಧಾನ"
"Special Price","ವಿಶೇಷ ಬೆಲೆ"
"Status","ಸ್ಥಿತಿ"
"Subtotal","ಉಪಮೊತ್ತ"
"This rule no longer exists.","ಈ ನಿಯಮವು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"To Fixed Value","ನಿಗದಿತ ದರಕ್ಕೆ"
"Total","ಒಟ್ಟು ಮೊತ್ತ"
"Total Amount","ಒಟ್ಟು ಮೊತ್ತ"
"Total Weight","ಒಟ್ಟು ತೂಕ"
"Update the Product","ಉತ್ಪನ್ನವನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Used","ಬಳಸಿದೆ"
"Website","ಜಾಲ ತಾಣ"
"Websites","ಜಾಲ ತಾಣಗಳು"
"Yes","ಹೌದು"
"total amount","ಒಟ್ಟು ಮೊತ್ತ"
"total quantity","ಒಟ್ಟು ಪರಿಮಾಣ"
