" Copy"," ನಕಲಿಸಿ"
"Action","ಕ್ರಿಯೆ"
"Add New Template","ಹೊಸ ಮಾದರಿಯನ್ನು ಸೇರಿಸಿ"
"Allow Guest Subscription","ಅತಿಥಿ ಚಂದಾದಾರಿಕೆಗೆ ಅನುಮತಿಸಿ"
"Back","ಹಿಂದೆ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Cancelled","ರದ್ದುಪಡಿಸಲಾಗಿದೆ"
"Create Newsletter Template","ಸುದ್ದಿಪತ್ರಿಕೆ ಮಾದರಿ ರಚಿಸಿ"
"Customer","ಗ್ರಾಹಕರು"
"Customer First Name","ಗ್ರಾಹಕರ ಮೊದಲ ಹೆಸರು"
"Customer Last Name","ಗ್ರಾಹಕರ ಕೊನೆಯ ಹೆಸರು"
"Date Added","ಸೇರಿಸಿದ ದಿನಾಂಕ"
"Delete","ಅಳಿಸಿ"
"Delete Template","ಮಾದರಿಯನ್ನು ಅಳಿಸಿ"
"Edit Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಯನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Template","ಮಾದರಿಯನ್ನು ಸಂಪಾದಿಸಿ"
"Email","ಮಿಂಚೆ"
"Enter your email address","ನಿಮ್ಮ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ"
"Guest","ಅತಿಥಿ"
"Message","ಸಂದೇಶ"
"Need to Confirm","ಖಚಿತಪಡಿಸಬೇಕಿದೆ"
"New Newsletter Template","ಹೊಸ ಸುದ್ದಿಪತ್ರಿಕೆ ಮಾದರಿ"
"New Template","ಹೊಸ ಮಾದರಿ"
"Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆ"
"Newsletter Styles","ಸುದ್ದಿಪತ್ರಿಕೆ ಶೈಲಿಗಳು"
"Newsletter Subscribers","ಸುದ್ದಿಪತ್ರಿಕೆ ಚಂದಾದಾರರು"
"Newsletter Subscription","ಸುದ್ದಿಪತ್ರಿಕೆ ಚಂದಾದಾರಿಕೆ"
"Newsletter Subscriptions","ಸುದ್ದಿಪತ್ರಿಕೆ ಚಂದಾದಾರಿಕೆಗಳು"
"Newsletter Templates","ಸುದ್ದಿಪತ್ರಿಕೆ ಮಾದರಿಗಳು"
"Not Activated","ಸಕ್ರಿಯವಾಗಿಲ್ಲ"
"Not Sent","ರವಾನೆಯಾಗದ"
"Pause","ವಿರಮಿಸಿ"
"Paused","ವಿರಮಿಸಿದೆ"
"Please enter a valid email address.","ದಯವಿಟ್ಟು ಸರಿಯಾದ ಮಿಂಚೆ ವಿಳಾಸವನ್ನು ನಮೂದಿಸಿ."
"Preview","ಮುನ್ನೋಟ"
"Preview Template","ಮುನ್ನೋಟ ಮಾದರಿ"
"Recipients","ಸ್ವೀಕೃತಿದಾರರು"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Resume","ಪುನರಾರಂಭಿಸಿ"
"Save As","ಹೀಗೆ ಉಳಿಸಿ"
"Save Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಯನ್ನು ಉಳಿಸಿ"
"Save Template","ಮಾದರಿಯನ್ನು ಉಳಿಸಿ"
"Save and Resume","ಉಳಿಸಿ ಮತ್ತು ಮುಂದುವರೆಯಿರಿ"
"Security","ಸುರಕ್ಷತೆ"
"Sender","ರವಾನೆದಾರ"
"Sender Email","ರವಾನೆದಾರರ ಮಿಂಚೆ"
"Sender Name","ರವಾನೆದಾರರ ಹೆಸರು"
"Sending","ರವಾನಿಸುತ್ತಿದೆ"
"Sent","ಕಳುಹಿಸಲಾಗಿದೆ"
"Start","ಪ್ರಾರಂಭಿಸಿ"
"Status","ಸ್ಥಿತಿ"
"Store","ಮಳಿಗೆ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Subject","ವಿಷಯ"
"Submit","ಸಲ್ಲಿಸಿ"
"Subscribe","ಚಂದಾದಾರರಾಗಿ"
"Subscribed","ಚಂದಾದಾರರಗಿರುವ"
"Subscriber","ಚಂದಾದಾರರು"
"Subscribers","ಚಂದಾದಾರರು"
"Subscription Options","ಚಂದಾದಾರಿಕೆಯ ಆಯ್ಕೆ"
"Template Information","ಮಾದರಿ ಮಾಹಿತಿ"
"Template Name","ಮಾದರಿಯ ಹೆಸರು"
"Template Styles","ಮಾದರಿಯ ಶೈಲಿಗಳು"
"Template Type","ಮಾದರಿಯ ವಿಧ"
"Thank you for your subscription.","ನಿಮ್ಮ ಚಂದಾದಾರಿಕೆಗಾಗಿ ಧನ್ಯವಾದಗಳು."
"Type","ವಿಧ"
"View Newsletter","ಸುದ್ದಿಪತ್ರಿಕೆಯನ್ನು ವೀಕ್ಷಿಸಿ"
"Website","ಜಾಲ ತಾಣ"
