"Action","ಕ್ರಿಯೆ"
"Are you sure you want to delete the selected backup(s)?","ಆಯ್ಕೆಮಾಡಿದ ಬ್ಯಾಕಪ್‍ಗಳನ್ನು ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"Backups","ಬ್ಯಾಕಪ್‍ಗಳು"
"Create Backup","ಬ್ಯಾಕಪ್ ರಚಿಸಿ"
"Database","ಡೇಟಾಬೇಸ್"
"Database Backup","ಡೇಟಾಬೇಸ್ ಬ್ಯಾಕಪ್"
"Database and Media","ಡೇಟಾಬೇಸ್ ಮತ್ತು ಮಾಧ್ಯಮ"
"Database and Media Backup","ಡೇಟಾಬೇಸ್ ಮತ್ತು ಮಾಧ್ಯಮ ಬ್ಯಾಕಪ್"
"Download","ಡೌನ್‍ಲೋಡ್"
"Enable Scheduled Backup","ನಿಗದಿತ ಬ್ಯಾಕಪ್ ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Frequency","ಆವರ್ತನ"
"Maintenance Mode","ನಿರ್ವಹಣಾ ವಿಧಾನ"
"Name","ಹೆಸರು"
"Start Time","ಪ್ರಾರಂಭದ ಸಮಯ"
"System","ವ್ಯವಸ್ಥೆ"
"System (excluding Media)","ವ್ಯವಸ್ಥೆ (ಮಾಧ್ಯಮ ರಹಿತ)"
"System Backup","ವ್ಯವಸ್ಥೆ ಬ್ಯಾಕಪ್"
"Time","ಸಮಯ"
"Type","ವಿಧ"
