"(Excl. Tax)","(ತೆರಿಗೆ ರಹಿತ)"
"(Incl. Tax)","(ತೆರಿಗೆ ಸಹಿತ)"
"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Add New Address","ಹೊಸ ವಿಳಾಸವನ್ನು ಸೇರಿಸಿ"
"Add New Condition","ಹೊಸ ನಿಬಂಧನೆಯನ್ನು ಸೇರಿಸಿ"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add to Compare","ಹೋಲಿಸಲು ಸೇರಿಸಿ"
"Add to Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Address","ವಿಳಾಸ"
"After Adding a Product Redirect to Shopping Cart","ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿದ ನಂತರ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಮರುನಿರ್ದೇಶಿಸಿ"
"Allow Guest Checkout","ಅತಿಥಿ ಚೆಕೌಟ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Apply","ಅನ್ವಯಿಸಿ"
"Apply Coupon","ಕೂಪನ್ ಅನ್ನು ಅನ್ವಯಿಸಿ"
"Are you sure you would like to remove this item from the shopping cart?","ನೀವು ನಿಮ್ಮ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಿಂದ ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಲು ಬಯಸುವಿರಾ?"
"Back","ಹಿಂದೆ"
"Back to Billing Information","ಬಿಲ್ಲಿಂಗ್ ಮಾಹಿತಿಗೆ ಹಿಂತಿರುಗಿ"
"Back to Shipping Information","ರವಾನೆ ಮಾಹಿತಿಗೆ ತೆರಳಿ"
"Back to Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಹಿಂತಿರುಗಿ"
"Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ"
