"Actions","ಕ್ರಿಯೆಗಳು"
"Active","ಸಕ್ರಿಯ"
"Add New Rule","ಹೊಸ ನಿಯಮವನ್ನು ಸೇರಿಸಿ"
"Apply","ಅನ್ವಯಿಸಿ"
"Apply Rules","ನಿಯಮಗಳನ್ನು ಅನ್ವಯಿಸಿ"
"Catalog Price Rule","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿ ದರದ ನಿಯಮ"
"Category","ವಿಭಾಗ"
"Conditions","ನಿಯಮಗಳು"
"Conditions Combination","ನಿಯಮಗಳ ಸಂಯೋಜನೆ"
"Customer Groups","ಗ್ರಾಹಕರ ಗುಂಪುಗಳು"
"Date From","ದಿನಾಂಕದಿಂದ"
"Date To","ದಿನಾಂಕದವರೆಗೆ"
"Description","ವಿವರಣೆ"
"Discount Amount","ರಿಯಾಯಿತಿ ಮೊತ್ತ"
"Edit Rule","ನಿಯಮವನ್ನು ಸಂಪಾದಿಸಿ"
"Expiration Date","ಅವಧಿ ಅಂತ್ಯದ ದಿನಾಂಕ"
"General Information","ಸಾಮಾನ್ಯ ಮಾಹಿತಿ"
"Inactive","ನಿಷ್ಕ್ರಿಯ"
"New Rule","ಹೊಸ ನಿಯಮ"
"No","ಇಲ್ಲ"
"Options","ಆಯ್ಕೆಗಳು"
"Priority","ಆದ್ಯತೆ"
"Product Attribute","ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷ"
"Promotions","ಜಾಹೀರಾತುಗಳು"
"Rule Information","ನಿಯಮದ ಮಾಹಿತಿ"
"Rule Name","ನಿಯಮದ ಹೆಸರು"
"Save and Apply","ಉಳಿಸಿ ಮತ್ತು ಅನ್ವಯಿಸಿ"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Start Date","ಪ್ರಾರಂಭದ ದಿನಾಂಕ"
"Status","ಸ್ಥಿತಿ"
"This rule no longer exists.","ಈ ನಿಯಮವು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"Type","ವಿಧ"
"Website","ಜಾಲ ತಾಣ"
"Websites","ಜಾಲ ತಾಣಗಳು"
"Yes","ಹೌದು"
