"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Admin","ನಿರ್ವಾಹಕ"
"Admin User Emails","ಅಡ್ಮಿನ್ ಬಳಕೆದಾರರ ಮಿಂಚೆಗಳು"
"Advanced","ಸುಧಾರಿತ"
"Allow Countries","ಅನುಮತಿಸಿರುವ ದೇಶಗಳು"
"Allow Symlinks","Symlinks ಗಳಿಗೆ ಅನುಮತಿಸಿ"
"Allowed IPs (comma separated)","ಅನುಮತಿಸಿರುವ IPಗಳು (ಕಾಮಾ ವಿಭಜಿತ)"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Back","ಹಿಂದೆ"
"Backup Options","ಬ್ಯಾಕಪ್ ಆಯ್ಕೆಗಳು"
"Base URL","ಮೂಲ URL"
"CSS Settings","CSS ಸಂಯೋಜನೆಗಳು"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Card type does not match credit card number.","ಕಾರ್ಡ್ ವಿಧ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆಗೆ ಹೊಂದುತ್ತಿಲ್ಲ."
"Code","ಸಂಕೇತ"
"Copyright","ಕೃತಿಸ್ವಾಮ್ಯ"
"Country","ದೇಶ"
"Create Store","ಮಳಿಗೆ ರಚಿಸಿ"
"Create Store View","ಮಳಿಗೆ ನೋಟ ರಚಿಸಿ"
"Create Website","ಜಾಲತಾಣ ರಚಿಸಿ"
"Credit card number does not match credit card type.","ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ ಸಂಖ್ಯೆ ಕಾರ್ಡ್ ವಿಧಕ್ಕೆ ಹೊಂದುತ್ತಿಲ್ಲ."
"Custom Design","ಒಗ್ಗಿಸಿದ ವಿನ್ಯಾಸ"
"Customer Support","ಗ್ರಾಹಕ ಸೇವೆ"
"Date From","ದಿನಾಂಕದಿಂದ"
"Date To","ದಿನಾಂಕದವರೆಗೆ"
"Debug","ಡೀಬಗ್"
"Default","ಪೂರ್ವನಿಯೋಜಿತ"
"Default Country","ನಿಯೋಜಿತ ದೇಶ"
"Default Pages","ನಿಯೋಜಿತ ಪುಟಗಳು"
"Default Store","ನಿಯೋಜಿತ ಮಳಿಗೆ"
"Default Store View","ನಿಯೋಜಿತ ಮಳಿಗೆ ನೋಟ"
"Default Title","ನಿಯೋಜಿತ ಶೀರ್ಷಿಕೆ"
"Delete","ಅಳಿಸಿ"
"Delete Store","ಮಳಿಗೆ ಅಳಿಸಿ"
"Delete Store View","ಮಳಿಗೆ ನೋಟ ಅಳಿಸಿ"
"Design","ವಿನ್ಯಾಸ"
"Design Change","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ"
"Developer","ವಿಕಸನಗಾರರು"
"Disable Email Communications","ಮಿಂಚೆ ಸಂವಹನಗಳನ್ನು ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಿ"
"Edit Design Change","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ ಸಂಪಾದಿಸಿ"
"Edit Store","ಮಳಿಗೆ ಸಂಪಾದಿಸಿ"
"Edit Store View","ಮಳಿಗೆ ನೋಟ ಸಂಪಾದಿಸಿ"
"Enable Charts","ಚಾರ್ಟ್‍ಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Enabled for Admin","ಅಡ್ಮಿನ್ ಗಾಗಿ ಸಕ್ರಿಯವಾಗಿದೆ"
"European Union Countries","ಯೂರೋಪಿಯನ್ ಯೂನಿಯನ್ ದೇಶಗಳು"
"File system","ಕಡತ ವ್ಯವಸ್ಥೆ"
"First Day of Week","ವಾರದ ಮೊದಲ ದಿನ"
"Footer","ಅಡಿಬರಹ"
