"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Add New Class","ಹೊಸ ವರ್ಗವನ್ನು ಸೇರಿಸಿ"
"Add New Tax Rate","ಹೊಸ ತೆರಿಗೆ ದರವನ್ನು ಸೇರಿಸಿ"
"Add New Tax Rule","ಹೊಸ ತೆರಿಗೆ ನಿಯಮವನ್ನು ಸೇರಿಸಿ"
"After Discount","ರಿಯಾಯಿತಿಯ ನಂತರ"
"Apply Customer Tax","ಗ್ರಾಹಕರ ತೆರಿಗೆಯನ್ನು ಅನ್ವಯಿಸಿ"
"Apply Discount On Prices","ದರಗಳ ಮೇಲೆ ರಿಯಾಯಿತಿ ಅನ್ವಯಿಸಿ"
"Apply Tax On","ನ ಮೇಲೆ ತೆರಿಗೆ ಅನ್ವಯಿಸಿ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Back","ಹಿಂದೆ"
"Before Discount","ರಿಯಾಯಿತಿಗೆ ಮುನ್ನ"
"Calculation Settings","ಲೆಕ್ಕಾಚಾರದ ಸಂಯೋಜನೆಗಳು"
"Code","ಸಂಕೇತ"
"Country","ದೇಶ"
"Customer Tax Class","ಗ್ರಾಹಕರ ತೆರಿಗೆ ವರ್ಗ"
"Default Country","ನಿಯೋಜಿತ ದೇಶ"
"Default Post Code","ನಿಯೋಜಿತ ಪಿನ್ ಕೋಡ್"
"Default State","ನಿಯೋಜಿತ ರಾಜ್ಯ"
"Delete Rate","ದರ ಅಳಿಸಿ"
"Delete Rule","ನಿಯಮವನ್ನು ಅಳಿಸಿ"
"Display Full Tax Summary","ಪೊರ್ಣ ತೆರಿಗೆ ಸಾರಾಂಶವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Prices","ದರವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Shipping Amount","ರವಾನೆ ಮೊತ್ತವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Shipping Prices","ರವಾನೆ ಮೊತ್ತವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Subtotal","ಉಪಮೊತ್ತವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Zero Tax Subtotal","ಶೂನ್ಯ ತೆರಿಗೆ ಉಪಮೊತ್ತವನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Edit Rule","ನಿಯಮವನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Tax Rate","ತೆರಿಗೆ ದರವನ್ನು ಸಂಪಾದಿಸಿ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"Excluding Tax","ತೆರಿಗೆ ರಹಿತ"
"Export Tax Rates","ರಫ್ತು ತೆರಿಗೆ ದರ"
