"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"ALL GROUPS","ಎಲ್ಲಾ ಗುಂಪುಗಳು"
"Account Information","ಖಾತೆಯ ಮಾಹಿತಿ"
"Account Sharing Options","ಖಾತೆ ಹಂಚಿಕೆಯ ಆಯ್ಕೆಗಳು"
"Action","ಕ್ರಿಯೆ"
"Add New Address","ಹೊಸ ವಿಳಾಸವನ್ನು ಸೇರಿಸಿ"
"Add New Customer","ಹೊಸ ಗ್ರಾಹಕರನ್ನು ಸೇರಿಸಿ"
"Add New Customer Group","ಹೊಸ ಗ್ರಾಹಕರ ಗುಂಪು ಸೇರಿಸಿ"
"Additional Address Entries","ಹೆಚ್ಚುವರಿ ವಿಳಾಸದ ನಮೂದುಗಳು"
"Address","ವಿಳಾಸ"
"Address Book","ವಿಳಾಸ ಪಟ್ಟಿ"
"Address Information","ವಿಳಾಸ ಮಾಹಿತಿ"
"Address Templates","ವಿಳಾಸದ ಮಾದರಿಗಳು"
"Addresses","ವಿಳಾಸಗಳು"
"Admin","ನಿರ್ವಾಹಕ"
"All","ಎಲ್ಲಾ"
"All Store Views","ಎಲ್ಲಾ ಮಳಿಗೆಗಳ ನೋಟಗಳು"
"All countries","ಎಲ್ಲಾ ದೇಶಗಳು"
"Always optional.","ಯಾವಾಗಲೂ ಐಚ್ಛಿಕ."
"Amount","ಮೊತ್ತ"
"Approved","ಅನುಮೋದಿಸಿದೆ"
"Are you sure you want to delete this address?","ನೀವು ಈ ವಿಳಾಸವನ್ನು ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Assign a Customer Group","ಗ್ರಾಹಕರ ಗುಂಪನ್ನು ವಹಿಸಿ"
"Average Sale","ಸಾಧಾರಣ ಮಾರಾಟ"
"Back","ಹಿಂದೆ"
"Bad request.","ಕೆಟ್ಟ ವಿನಂತಿ."
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Change Billing Address","ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ ಬದಲಿಸಿ"
"Change Password","ಗುಪ್ತಪದವನ್ನು ಬದಲಿಸಿ"
"Change Shipping Address","ರವಾನೆ ವಿಳಾಸ ಬದಲಿಸಿ"
"City","ನಗರ"
"Company","ಸಂಸ್ಠೆ"
"Configure","ಸಂರಚಿಸಿ"
"Confirm New Password","ಹೊಸ ಗುಪ್ತಪದವನ್ನು ಖಚಿತಪಡಿಸಿ"
"Confirm Password","ಗುಪ್ತಪದವನ್ನು ಖಚಿತಪಡಿಸಿ"
"Confirmation Link Email","ದೃಢೀಕರಣ ಕೊಂಡಿಯ ಮಿಂಚೆ"
"Confirmed","ದೃಢೀಕರಿಸಿದ"
"Contact Information","ಸಂಪರ್ಕ ಮಾಹಿತಿ"
"Continue Shopping","ಶಾಪಿಂಗ್ ಮುಂದುವರೆಸಿ"
"Country","ದೇಶ"
"Create","ರಚಿಸಿ"
"Create New Account Options","ಹೊಸ ಖಾತೆ ಆಯ್ಕೆಗಳನ್ನು ರಚಿಸಿ"
"Create Order","ವ್ಯಾಪಾರಾದೇಶವನ್ನು ರಚಿಸಿ"
"Create an Account","ಖಾತೆಯೊಂದನ್ನು ರಚಿಸಿ"
"Current Password","ಪ್ರಸ್ತುತ ಗುಪ್ತಪದ"
"Customer","ಗ್ರಾಹಕರು"
"Customer Configuration","ಗ್ರಾಹಕರ ಸಂರಚನೆ"
"Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು"
"Customer Groups","ಗ್ರಾಹಕರ ಗುಂಪುಗಳು"
"Customer Information","ಗ್ರಾಹಕರ ಮಾಹಿತಿ"
"Customer Since","ರಿಂದ ಗ್ರಾಹಕ"
"Customer View","ಗ್ರಾಹಕರ ನೋಟ"
"Customer will stay on the current page if ""No"" is selected.","""ಇಲ್ಲ"" ವನ್ನು ಆರಿಸಿದಲ್ಲಿ, ಗ್ರಾಹಕರು ಪ್ರಸ್ತುತ ಪುಟದಲ್ಲೇ ಉಳಿಯುತ್ತಾರೆ."
"Customers","ಗ್ರಾಹಕರು"
"Date","ದಿನಾಂಕ"
"Date Added","ಸೇರಿಸಿದ ದಿನಾಂಕ"
"Date of Birth","ಹುಟ್ಟಿದ ದಿನಾಂಕ"
"Day","ದಿನ"
"Default Addresses","ನಿಯೋಜಿತ ವಿಳಾಸಗಳು"
"Default Billing Address","ನಿಯೋಜಿತ ಬಿಲ್ಲಿಂಗ್ ವಿಳಾಸ"
"Default Email Domain","ನಿಯೋಜಿತ ಮಿಂಚೆ ಡೊಮೈನ್"
"Default Group","ನಿಯೋಜಿತ ಗುಂಪು"
"Default Shipping Address","ನಿಯೋಜಿತ ರವಾನೆ ವಿಳಾಸ"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT ID ಯ ಆಧಾರದ ಮೇಲೆ ಸ್ವಯಂಚಾಲಿತ ಗುಂಪು ಬದಲಾವಣೆಯ ನಿಷ್ಕ್ರಿಯತೆಗೆ ನಿಯೋಜಿತ ನಮೂದು"
"Default Welcome Email","ನಿಯೋಜಿತ ಸ್ವಾಗತ ಮಿಂಚೆ"
"Delete","ಅಳಿಸಿ"
"Delete Customer","ಗ್ರಾಹಕರನ್ನು ಅಳಿಸಿ"
"Delete Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು ಅಳಿಸಿ"
