"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"Attribute Code","ಗುಣವಿಶೇಷ ಸಂಕೇತ"
"Attribute Label","ಗುಣವಿಶೇಷ ಲೇಬಲ್"
"Customers","ಗ್ರಾಹಕರು"
"Export","ರಫ್ತು"
"Export Settings","ರಫ್ತು ಸಂಯೋಜನೆಗಳು"
"Filter","ಶೋಧಕ"
"From","ಇಂದ"
"Import","ಆಮದು"
"Import Behavior","ಆಮದು ವರ್ತನೆ"
"Import Settings","ರಫ್ತು ಸಂಯೋಜನೆಗಳು"
"Import/Export","ಆಮದು/ರಫ್ತು"
"No valid data sent","ಮಾನ್ಯವಾದ ದತ್ತಾಂಶವನ್ನು ಕಳುಹಿಸಿಲ್ಲ"
"Products","ಉತ್ಪನ್ನಗಳು"
"Select File to Import","ಆಮದುಮಾಡಲು ಕಡತವನ್ನು ಆರಿಸಿ"
"Status","ಸ್ಥಿತಿ"
"There are no product types available for export","ರಫ್ತುಮಾಡಲು ಉತ್ಪನ್ನದ ವಿಧಗಳು ಯಾವುದೂ ಲಭ್ಯವಿಲ್ಲ"
"To","ಗೆ"
