"Calculate Handling Fee","ನಿರ್ವಹಣಾ ವೆಚ್ಚವನ್ನು ಲೆಕ್ಕಮಾಡಿ"
"City","ನಗರ"
"Condition","ನಿಬಂಧನೆ"
"Country","ದೇಶ"
"Date","ದಿನಾಂಕ"
"Delivered on:",": ರಂದು ತಲುಪಿಸಲಾಗಿದೆ:"
"Description","ವಿವರಣೆ"
"Displayed Error Message","ದೋಷ ಸಂದೇಶವನ್ನು ಪ್ರದರ್ಶಿಸಿದೆ"
"Divide to equal weight (one request)","ಸಮನಾದ ತೂಕಕ್ಕೆ ವಿಭಜಿಸಿ (ಒಂದು ವಿನಂತಿ)"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Error:","ದೋಷ:"
"Export","ರಫ್ತು"
"Fixed","ಸ್ಥಿರ"
"Free Shipping","ಉಚಿತ ರವಾನೆ"
"Handling Fee","ನಿರ್ವಹಣಾ ವೆಚ್ಚ"
"Import","ಆಮದು"
"Info:","ಮಾಹಿತಿ:"
"Local Time","ಸ್ಥಳೀಯ ಕಾಲಮಾನ"
"Location","ಸ್ಥಳ"
"Minimum Order Amount","ಕನಿಷ್ಟ ವ್ಯಾಪಾರಾದೇಶದ ಮೊತ್ತ"
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Options","ಆಯ್ಕೆಗಳು"
"Origin","ಮೂಲ"
"Per Order","ಪ್ರತಿ ವ್ಯಾಪಾರಾದೇಶಕ್ಕೆ"
"Percent","ಶೇಕಡ"
"Price","ದರ"
"Region/State","ರಾಜ್ಯ"
"Ship to Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಗೆ ರವಾನಿಸಿ"
"Ship to Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳಿಗೆ ರವಾನಿಸಿ"
"Shipment #","ರವಾನೆ #"
"Shipping Methods","ಸಾಗಾಣಿಕೆ ವಿಧಾನಗಳು"
"Shipping Settings","ರವಾನೆ ಸಂಯೋಜನೆಗಳು"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Status:","ಸ್ಟೇಟಸ್:"
"Street Address","ಬೀದಿ ವಿಳಾಸ"
"Street Address Line 2","ಬೀದಿ ವಿಳಾಸದ 2ನೇ ಸಾಲು"
"Title","ಶೀರ್ಷಿಕೆ"
"Tracking Information","ಟ್ರಾಕಿಂಗ್ ಮಾಹಿತಿ"
"Tracking Number:","ಟ್ರಾಕಿಂಗ್ ಸಂಖ್ಯೆ:"
"Type","ವಿಧ"
"Weight (and above)","ತೂಕ (ಮತ್ತು ಮೇಲೆ)"
"ZIP/Postal Code","ಪಿನ್ ಕೋಡ್"
"contact us","ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿ"
"email us at ","ನಮಗೆ ಇಲ್ಲಿ ಮಿಂಚೆ ಕಳುಹಿಸಿ "
