"Action","ಕ್ರಿಯೆ"
"Add New Block","ಹೊಸ ಬ್ಲಾಕನ್ನು ಸೇರಿಸಿ"
"Add New Page","ಹೊಸ ಪುಟವನ್ನು ಸೇರಿಸಿ"
"All Countries","ಎಲ್ಲಾ ದೇಶಗಳು"
"Block","ಬ್ಲಾಕ್‍"
"Block Information","ಬ್ಲಾಕ್ ಮಾಹಿತಿ"
"Block Title","ಬ್ಲಾಕ್ ಶೀರ್ಷಿಕೆ"
"CMS Home Page","CMS ಮುಖಪುಟ"
"CMS Page","CMS ಪುಟ"
"CMS Page Link","CMS ಪುಟದ ಕೊಂಡಿ"
"Collapse All","ಎಲ್ಲವನ್ನೂ ಕುಗ್ಗಿಸಿ"
"Content","ವಿಷಯ"
"Content Heading","ವಿಷಯ ಶೀರ್ಷಿಕ"
"Content Management","ವಿಷಯ ನಿರ್ವಹಣೆ"
"Custom Design","ಒಗ್ಗಿಸಿದ ವಿನ್ಯಾಸ"
"Custom Layout","ಒಗ್ಗಿಸಿದ ವಿನ್ಯಾಸ"
"Custom Theme","ಒಗ್ಗಿಸಿದ ಥೀಮ್"
"Delete Block","ಬ್ಲಾಕ್‍ ಅನ್ನು ಅಳಿಸಿ"
"Delete File","ಕಡತ ಅಳಿಸಿ"
"Delete Folder","ಫೋಲ್ಡರ್ ಅಳಿಸಿ"
"Delete Page","ಪುಟವನ್ನು ಅಳಿಸಿ"
"Description","ವಿವರಣೆ"
"Design","ವಿನ್ಯಾಸ"
"Disabled","ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ"
"Disabled Completely","ಪೂರ್ಣವಾಗಿ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ"
"Disabled by Default","ಪೂರ್ವನಿಯೋಜಿತವಾಗಿ ನಿಷ್ಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ"
"Edit Block","ಬ್ಲಾಕ್ ಅನ್ನು ಸಂಪಾದಿಸಿ"
"Edit Page","ಪುಟವನ್ನು ಸಂಪಾದಿಸಿ"
"Enable WYSIWYG Editor","WYSIWYG ಸಂಪಾದಕವನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"Enabled by Default","ಪೂರ್ವನಿಯೋಜಿತವಾಗಿ ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ"
"Expand All","ಎಲ್ಲವನ್ನು ವಿಸ್ತರಿಸಿ"
"General Information","ಸಾಮಾನ್ಯ ಮಾಹಿತಿ"
"Go to Home Page","ಮುಖಪುಟಕ್ಕೆ ತೆರಳಿ"
"Home","ಮುಖಪುಟ"
"Layout","ವಿನ್ಯಾಸ"
"Layout Update XML","ವಿನ್ಯಾಸ ಪರಿಷ್ಕರಣೆ XML"
"Link to a CMS Page","CMS ಪುಟಕ್ಕೆ ಕೊಂಡಿ"
"Media Gallery","ಚಿತ್ರಾಂಗಣ"
"Media Storage","ಮಾಧ್ಯಮ ಸಂಗ್ರಹಣೆ"
"Meta Description","ಮೆಟಾ ವಿವರಣೆ"
"Meta Keywords","ಮೆಟಾ ಕೀಪದಗಳು"
"New Block","ಹೊಸ ಬ್ಲಾಕ್"
"New Folder Name:","ಹೊಸ ಫೋಲ್ಡರ್ ಹೆಸರು:"
"New Page","ಹೊಸ ಪುಟ"
"No files found","ಯಾವುದೇ ಕಡತ ಕಂಡುಬಂದಿಲ್ಲ"
"Page Information","ಪುಟದ ಮಾಹಿತಿ"
"Page Title","ಪುಟದ ಶೀರ್ಷಿಕೆ"
"Pages","ಪುಟಗಳು"
"Save Page","ಪುಟ ಉಳಿಸಿ"
"Select Block...","ಬ್ಲಾಕ್ ಅನ್ನು ಆರಿಸಿ..."
"Select Page...","ಪುಟವನ್ನು ಆರಿಸಿ..."
"Static Blocks","ಸ್ಥಿರ ಬ್ಲಾಕ್‍ಗಳು"
"Status","ಸ್ಥಿತಿ"
"Storage Root","ಸಂಗ್ರಹಣಾ ಮೂಲ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Template","ಮಾದರಿ"
"The page has been deleted.","ಪುಟವನ್ನು ಅಳಿಸಲಾಗಿದೆ."
"This block no longer exists.","ಈ ಬ್ಲಾಕ್ ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"This page no longer exists.","ಈ ಪುಟವು ಈಗ ಅಸ್ತಿತ್ವದಲ್ಲಿರುವುದಿಲ್ಲ."
"Title","ಶೀರ್ಷಿಕೆ"
"URL Key","URL ಕೀ"
"WYSIWYG Options","WYSIWYG ಆಯ್ಕೆಗಳು"
