"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"A group with the same name already exists.","ಇದೆ ಹೆಸರಿನಲ್ಲಿ ಒಂದು ಗುಂಪು ಈಗಾಗಲೆ ಅಸ್ತಿತ್ವದಲ್ಲಿದೆ."
"ALL GROUPS","ಎಲ್ಲಾ ಗುಂಪುಗಳು"
"AM","ಪೂರ್ವಾಹ್ನ"
"Action","ಕ್ರಿಯೆ"
"Actual Price","ನಿಜವಾದ ಬೆಲೆ"
"Add","ಸೇರಿಸಿ"
"Add Attribute","ಗುಣವಿಶೇಷವನ್ನು ಸೇರಿಸು"
"Add Design Change","ವಿನ್ಯಾಸ ಬದಲಾವಣೆ ಸೇರಿಸಿ"
"Add Group","ಗುಂಪನ್ನು ಸೇರಿಸಿ"
"Add New","ಹೊಸದನ್ನು ಸೇರಿಸಿ"
"Add New Attribute","ಹೊಸ ಗುಣವಿಶೇಷವನ್ನು ಸೇರಿಸಿ"
"Add New Group","ಹೊಸ ಗುಂಪು ಸೇರಿಸಿ"
"Add New Images","ಹೊಸ ಚಿತ್ರಗಳನ್ನು ಸೇರಿಸಿ"
"Add New Option","ಹೊಸ ಆಯ್ಕೆಯನ್ನು ಸೇರಿಸಿ"
"Add New Row","ಹೊಸ ಸಾಲನ್ನು ಸೇರಿಸಿ"
"Add New Search Term","ಹೊಸ ಹುಡುಕುವಿಕೆಯ ಪದಪುಂಜವನ್ನು ಸೇರಿಸಿ"
"Add Product","ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಿ"
"Add Product To Websites","ಉತ್ಪನ್ನವನ್ನು ಜಾಲತಾಣಗಳಿಗೆ ಸೇರಿಸಿ"
"Add Root Category","ಮೂಲ ವಿಭಾಗವನ್ನು ಸೇರಿಸಿ"
"Add Subcategory","ಉಪವಿಭಾಗ ಸೇರಿಸಿ"
"Add Tax","ತೆರಿಗೆಯನ್ನು ಸೇರಿಸಿ"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add to Compare","ಹೋಲಿಸಲು ಸೇರಿಸಿ"
"Add to Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"All","ಎಲ್ಲಾ"
"All Product Types","ಎಲ್ಲಾ ಉತ್ಪನ್ನದ ವಿಧಗಳು"
"All Websites","ಎಲ್ಲಾ ಜಾಲತಾಣಗಳು"
"All products","ಎಲ್ಲಾ ಉತ್ಪನ್ನಗಳು"
"All products - recently added products, New products - products marked as new","ಎಲ್ಲಾ ಉತ್ಪನ್ನಗಳು - ಇತ್ತೀಚೆಗೆ ಸೇರಿಸಿದ ಉತ್ಪನ್ನಗಳು, ಹೊಸ ಉತ್ಪನ್ನಗಳು - ಹೊಸತೆಂದು ಪರಿಗಣಿಸಲಾದ ಉತ್ಪನ್ನಗಳು"
"Amount","ಮೊತ್ತ"
"Apply To","ಗೆ ಅನ್ವಯಿಸುತ್ತದೆ"
"Approved","ಅನುಮೋದಿಸಿದೆ"
"Are you sure you want to delete this category?","ನೀವು ಈ ವಿಭಾಗವನ್ನು ಖಚಿತವಾಗಿಯೂ ಅಳಿಸಲು ಬಯಸುವಿರಾ?"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Assign","ವಹಿಸಿ"
"Associated Products","ಸಂಬಂಧಿಸಿದ ಉತ್ಪನ್ನಗಳು"
"Attribute Model","ಗುಣವಿಶೇಷ ಸಂಕೇತ"
"Attributes","ಗುಣವಿಶೇಷಗಳು"
"Availability:","ಲಭ್ಯತೆ:"
"Back","ಹಿಂದೆ"
"Backorders","ಹಿಮ್ಮುಖವ್ಯಾಪಾರಾದೇಶಗಳು"
"Based On","ಆಧಾರದ ಮೇಲೆ"
"Before Order Confirmation","ವ್ಯಾಪಾರಾದೇಶ ಖಚಿತಪಡಿಸುವ ಮುನ್ನ"
"Bottom/Left","ಕೆಳಗೆ/ಎಡ"
"Bottom/Right","ಕೆಳಗೆ/ಬಲ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Categories","ವಿಭಾಗಗಳು"
"Category","ವಿಭಾಗ"
"Category Products","ವಿಭಾಗದ ಉತ್ಪನ್ನಗಳು"
"Category URL Suffix","ವಿಭಾಗ URL ಪ್ರತ್ಯಯ"
"Center","ಮಧ್ಯ"
"Change","ಬದಲಾಯಿಸಿ"
"Change status","ಸ್ಥಿತಿ ಬದಲಿಸಿ"
"Choose an Option...","ಒಂದು ಆಯ್ಕೆಯನ್ನು ಆರಿಸಿ..."
"Clear All","ಎಲ್ಲವನ್ನೂ ತೆರವುಗೊಳಿಸಿ"
"Clear Price","ಬೆಲೆಯನ್ನು ತೆರವುಗೊಳಿಸಿ"
"Click for price","ದರಕ್ಕಾಗಿ ಕ್ಲಿಕ್ ಮಾಡಿ"
"Collapse All","ಎಲ್ಲವನ್ನೂ ಕುಗ್ಗಿಸಿ"
"Comma-separated.","ಕಾಮಾ-ವಿಭಜಿತ."
"Comparable","ಹೋಲಿಸಬಹುದಾದ"
"Compare","ಹೋಲಿಸಿ"
"Compare Products","ಉತ್ಪನ್ನಗಳನ್ನು ಹೋಲಿಸಿ"
"Conditions Combination","ನಿಯಮಗಳ ಸಂಯೋಜನೆ"
"Configure Product","ಉತ್ಪನ್ನವನ್ನು ಸಂರಚಿಸಿ"
"Continue","ಮುಂದುವರೆಯಿರಿ"
"Country/State","ರಾಷ್ಟ್ರ/ರಾಜ್ಯ"
"Create","ರಚಿಸಿ"
"Create Permanent Redirect for old URL","ಹಳೆಯ URL ಗೆ ಶಾಶ್ವತ ಮರುನಿರ್ದೇಶಿಕೆಯನ್ನು ರಚಿಸಿ"
"Custom Design","ಒಗ್ಗಿಸಿದ ವಿನ್ಯಾಸ"
"Custom Options","ಒಗ್ಗಿಸಿದ ಆಯ್ಕೆಗಳು"
"Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು"
"Customers Reviews","ಗ್ರಾಹಕರ ವಿಮರ್ಶೆಗಳು"
"Date & Time Custom Options","ದಿನಾಂಕ & ಸಮಯ ದ ಒಗ್ಗಿಸುವಿಕೆಯ ಆಯ್ಕೆಗಳು"
"Default Price","ನಿಯೋಜಿತ ದರ"
"Default Values","ನಿಯೋಜಿತ ನಮೂದುಗಳು"
"Delete","ಅಳಿಸಿ"
"Delete Attribute","ಗುಣವಿಶೇಷವನ್ನು ಅಳಿಸಿ"
"Delete Option","ಆಯ್ಕೆಯನ್ನು ಅಳಿಸಿ"
"Delete Row","ಸಾಲನ್ನು ಅಳಿಸಿ"
"Delete Search","ಹುಡುಕಾಟ ಅಳಿಸಿ"
"Delete Selected Group","ಆರಿಸಿದ ಗುಂಪನ್ನು ಅಳಿಸಿ"
"Delete Tier","ಹಂತವನ್ನು ಅಳಿಸಿ"
"Description","ವಿವರಣೆ"
"Design","ವಿನ್ಯಾಸ"
"Details","ವಿವರಗಳು"
"Disabled","ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ"
"Display Actual Price","ನಿಜವಾದ ಬೆಲೆಯನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Product Count","ಉತ್ಪನ್ನದ ಎಣಿಕೆಗಳನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Display Type","ಪ್ರದರ್ಶನದ ವಿಧ"
"Duplicate","ನಕಲಿಸಿ"
"Duplicate amount found.","ನಕಲಾದ ಮೊತ್ತ ಕಂಡುಬಂದಿದೆ."
"Edit","ಸಂಪಾದಿಸಿ"
"Edit Product Attribute","ಉತ್ಪನ್ನದ ಗುಣವಿಶೇಷವನ್ನು ಸಂಪಾದಿಸಿ"
"Email","ಮಿಂಚೆ"
"Email to a Friend","ಗೆಳೆಯನಿಗೆ ಮಿಂಚೆ ಕಳಿಸಿ"
