"Action","ಕ್ರಿಯೆ"
"Add","ಸೇರಿಸಿ"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add to Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Approved","ಅನುಮೋದಿಸಿದೆ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Are you sure?","ನಿಮಗೆ ಖಚಿತವೆ?"
"Back","ಹಿಂದೆ"
"Block Information","ಬ್ಲಾಕ್ ಮಾಹಿತಿ"
"Change status","ಸ್ಥಿತಿ ಬದಲಿಸಿ"
"Country","ದೇಶ"
"Customer Since","ರಿಂದ ಗ್ರಾಹಕ"
"Customers","ಗ್ರಾಹಕರು"
"Delete","ಅಳಿಸಿ"
"Disabled","ನಿಷ್ಕ್ರಿಯವಾಗಿದೆ"
"Email","ಮಿಂಚೆ"
"First Name","ಮೊದಲ ಹೆಸರು"
"General Information","ಸಾಮಾನ್ಯ ಮಾಹಿತಿ"
"Grid","ಗ್ರಿಡ್"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"List","ಪಟ್ಟಿ"
"Name","ಹೆಸರು"
"Pending","ಬಾಕಿ ಇರುವ"
"Price","ದರ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Products","ಉತ್ಪನ್ನಗಳು"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Status","ಸ್ಥಿತಿ"
"Store View","ಮಳಿಗೆ ನೋಟ"
"Tags","ಟ್ಯಾಗ್‌ಗಳು"
"Update","ಪರಿಷ್ಕರಿಸಿ"
"ZIP/Post Code","ಪಿನ್ ಕೋಡ್"
