"Base URL","ಮೂಲ URL"
"Configuration","ಸಂರಚನೆ"
"Confirm Password","ಗುಪ್ತಪದವನ್ನು ಖಚಿತಪಡಿಸಿ"
"Continue","ಮುಂದುವರೆಯಿರಿ"
"Database","ಡೇಟಾಬೇಸ್"
"Download","ಡೌನ್‍ಲೋಡ್"
"Email","ಮಿಂಚೆ"
"Email Address","ಮಿಂಚೆ ವಿಳಾಸ"
"Enable Charts","ಚಾರ್ಟ್‍ಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"Encryption Key","ಗೂಢಲಿಪೀಕರಣದ ಕೀ"
"File System","ಕಡತ ವ್ಯವಸ್ಥೆ"
"First Name","ಮೊದಲ ಹೆಸರು"
"Last Name","ಕೊನೆಯ ಹೆಸರು"
"Locale","‍ಸ್ಥಳೀಯ"
"Magento","ಮೆಜೆಂಟೋ"
"Password","ಗುಪ್ತಪದ"
"Password Confirmation","ಗುಪ್ತಪದದ ದೃಢೀಕರಣ"
"Personal Information","ವೈಯಕ್ತಿಕ ಮಾಹಿತಿ"
"Report All Bugs","ಎಲ್ಲಾ ಬಗ್ಗುಗಳನ್ನು ವರದಿ ಮಾಡಿ"
"Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"User Name","ಬಳಕೆದಾರರ ಹೆಸರು"
"User Password","ಬಳಕೆದಾರರ ಗುಪ್ತಪದ"
"Username","ಬಳಕೆದಾರ ಹೆಸರು"
