"Add","ಸೇರಿಸಿ"
"Add New Row","ಹೊಸ ಸಾಲನ್ನು ಸೇರಿಸಿ"
"Availability:","ಲಭ್ಯತೆ:"
"Back","ಹಿಂದೆ"
"Canceled","ರದ್ದುಪಡಿಸಲಾದ"
"Date","ದಿನಾಂಕ"
"Default Link Title","ನಿಯೋಜಿತ ಕೊಂಡಿಯ ಶೀರ್ಷಿಕೆ"
"Delete","ಅಳಿಸಿ"
"Downloadable Product Options","ಇಳಿಸಿಕೊಳ್ಳಬಹುದಾದ ಉತ್ಪನ್ನಗಳ ಆಯ್ಕೆಗಳು"
"Edit","ಸಂಪಾದಿಸಿ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"File","ಕಡತ"
"From:","ಇಂದ:"
"Gift Message","ಕೊಡುಗೆ ಸಂದೇಶ"
"In stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"List","ಪಟ್ಟಿ"
"Max. Downloads","ಗರಿಷ್ಟ ಡೌನ್‍ಲೋಡುಗಳು"
"Message:","ಸಂದೇಶ:"
"Move","ಸರಿಸಿ"
"My Downloadable Products","ನನ್ನ ಇಳಿಸಿಕೊಳ್ಳಬಹುದಾದ ಉತ್ಪನ್ನಗಳು"
"Open Links in New Window","ಹೊಸ Window ಯಲ್ಲಿ ಕೊಂಡಿಯನ್ನು ತೆರೆಯಿರಿ"
"Order #","ವ್ಯಾಪಾರಾದೇಶ #"
"Ordered","ವ್ಯಾಪಾರಾದೇಸಿದ"
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Pending","ಬಾಕಿ ಇರುವ"
"Price","ದರ"
"Qty","ಪರಿಮಾಣ"
"Refunded","ಮರುಪಾವತಿಸಿದ"
"Remaining Downloads","ಬಾಕಿ ಇರುವ ಡೌನ್‍ಲೋಡುಗಳು"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Remove Item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Sample","ನಮೂನೆ"
"See price before order confirmation.","ವ್ಯಾಪಾರಾದೇಶ ಖಚಿತಪಡಿಸುವ ಮುನ್ನ ಬೆಲೆಯನ್ನು ವೀಕ್ಷಿಸಿ."
"Shareable","ಹಂಚಿಕೊಳ್ಳಬಹುದಾದ"
"Shipped","ರವಾನಿಸಿದ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Start Download","ಡೌನ್‍ಲೋಡನ್ನು ಪ್ರಾರಂಭಿಸಿ"
"Status","ಸ್ಥಿತಿ"
"Subtotal","ಉಪಮೊತ್ತ"
"The link is not available.","ಈ ಕೊಂಡಿ ಲಭ್ಯವಿಲ್ಲ."
"Title","ಶೀರ್ಷಿಕೆ"
"To:","ಗೆ:"
"Unlimited","ಅಪರಿಮಿತ"
"Update","ಪರಿಷ್ಕರಿಸಿ"
"Use Default Value","ನಿಯೋಜಿತ ನಮೂದನ್ನು ಬಳಸಿ"
"View Order","ವ್ಯಾಪಾರಾದೇಶ ವೀಕ್ಷಿಸಿ"
"What's this?","ಇದು ಏನು?"
"download","ಡೌನ್‍ಲೋಡ್"
"inline","ಇನ್‍ಲೈನ್"
"sample","ನಮೂನೆ"
