"Add Minimum Qty","ಕನಿಷ್ಟ ಪರಿಮಾಣ ಸೇರಿಸಿ"
"Allow Qty Below 0","0 ಗಿಂತ ಕೆಳಗಿನ ಪರಿಮಾಣವನ್ನು ಅನುಮತಿಸಿ"
"Allow Qty Below 0 and Notify Customer","ಪರಿಮಾಣವನ್ನು 0 ದಿಂದ ಕೆಳಗೆ ಅನುಮತಿಸಿ ಮತ್ತು ಗ್ರಾಹಕರಿಗೆ ತಿಳಿಸಿ"
"Backorders","ಹಿಮ್ಮುಖವ್ಯಾಪಾರಾದೇಶಗಳು"
"By Fixed value","ನಿಗದಿತ ದರದಂತೆ"
"Decrease Stock When Order is Placed","ಖರೀದಿಸಿದಾಗ ದಾಸ್ತಾನನ್ನು ಕಡಿತಗೊಳಿಸಿ"
"Display Out of Stock Products","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲದ ಉತ್ಪನ್ನಗಳನ್ನು ಪ್ರದರ್ಶಿಸಿ"
"Enable Qty Increments","ಪರಿಮಾಣ ಏರಿಕೆಗಳನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ"
"In Stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Inventory","ದಾಸ್ತಾನುಪಟ್ಟಿ"
"Manage Stock","ದಾಸ್ತಾನು ನಿರ್ವಹಿಸಿ"
"Maximum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಗರಿಷ್ಟ ಪರಿಮಾಣ"
"Minimum Qty","ಕನಿಷ್ಟ ಪರಿಮಾಣ"
"Minimum Qty Allowed in Shopping Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಯಲ್ಲಿ ಅಂಗೀಕರಿಸಲಾಗುವ ಕನಿಷ್ಟ ಪರಿಮಾಣ"
"No Backorders","ಮರುವ್ಯಾಪಾರಾದೇಶಗಳಿಲ್ಲ"
"Out of Stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Product Name","ಉತ್ಪನ್ನದ ಹೆಸರು"
"Product Stock Options","ಉತ್ಪನ್ನದ ದಾಸ್ತಾನು ಆಯ್ಕೆಗಳು"
"Qty","ಪರಿಮಾಣ"
"Qty Increments","ಪರಿಮಾಣ ಏರಿಕೆಗಳು"
"Rule price","ನಿಯಮದ ದರ"
"Stock Options","ದಾಸ್ತಾನು ಆಯ್ಕೆಗಳು"
"Stock Status","ದಾಸ್ತಾನು ಸ್ಥಿತಿಗತಿ"
"To Fixed Value","ನಿಗದಿತ ದರಕ್ಕೆ"
"Update","ಪರಿಷ್ಕರಿಸಿ"
"Update the Product","ಉತ್ಪನ್ನವನ್ನು ಪರಿಷ್ಕರಿಸಿ"
