"2 Day","2 ದಿನ"
"2 Day AM","2 ದಿನ ಪೂರ್ವಾಹ್ನ"
"Account ID","ಖಾತೆ ID"
"Account Number","ಖಾತೆ ಸಂಖ್ಯೆ"
"Allowed Methods","ಅನುಮತಿಸಿದ ವಿಧಾನಗಳು"
"Business Service Center","ವಾಣಿಜ್ಯ ಸೇವಾ ಕೇಂದ್ರ"
"Calculate Handling Fee","ನಿರ್ವಹಣಾ ವೆಚ್ಚವನ್ನು ಲೆಕ್ಕಮಾಡಿ"
"Centimeters","ಸೆಂಟಿಮೀಟರ್‍ಗಳು"
"Commercial","ವಾಣಿಜ್ಯ"
"Configuration","ಸಂರಚನೆ"
"Container","ಕಂಟೈನರ್"
"Debug","ಡೀಬಗ್"
"Depth","ಆಳ"
"Development","ಬೆಳವಣಿಗೆ"
"Displayed Error Message","ದೋಷ ಸಂದೇಶವನ್ನು ಪ್ರದರ್ಶಿಸಿದೆ"
"Documents","ದಾಖಲೆಗಳು"
"Empty response","ಖಾಲಿ ಪ್ರತಿಕ್ರಿಯೆ"
"Enabled for Checkout","ಚೆಕೌಟ್ ಗಾಗಿ ಸಕ್ರಿಯವಾಗಿದೆ"
"Freight","ಸಾಗಾಣಿಕೆ"
"Gift","ಕೊಡುಗೆ"
"Girth","ಸುತ್ತಳತೆ"
"Ground","ಮೈದಾನ"
"Handling Fee","ನಿರ್ವಹಣಾ ವೆಚ್ಚ"
"Height","ಎತ್ತರ"
"Home Delivery","ಹೋಂ ಡೆಲಿವರಿ"
"Inches","ಇಂಚುಗಳು"
"International Economy","ಅಂತರ್ರಾಷ್ಟ್ರೀಯ ಎಕಾನಮಿ"
"Key","ಕೀಲಿ"
"Kilograms","ಕಿಲೋಗ್ರಾಂ"
"Large","ದೊಡ್ಡ"
"Length","ಉದ್ದ"
"Letter","ಪತ್ರ"
"National Freight","ದೇಶೀಯ ಸಾಗಾಣಿಕೆ"
"No","ಇಲ್ಲ"
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Not Required","ಅಗತ್ಯವಿಲ್ಲ"
"Order","ವ್ಯಾಪಾರಾದೇಶ"
"Other","ಇತರೆ"
"Others","ಇತರೆ"
"Parcel","ಪಾರ್ಸೆಲ್ಲು"
"Password","ಗುಪ್ತಪದ"
"Pounds","ಪೌಂಡ್ ಗಳು"
"Rectangular","ಆಯತಾಕಾರ"
"Regular","ಸಾಮಾನ್ಯ"
"Request Courier","ಕೊರಿಯರ್ ವಿನಂತಿ"
"Required","ಅಗತ್ಯವಿದೆ"
"Return","ಮರಳು"
"Same day","ಅದೇ ದಿನ"
"Sample","ನಮೂನೆ"
"Sender","ರವಾನೆದಾರ"
"Ship to Applicable Countries","ಅನ್ವಯವಾಗುವ ರಾಷ್ಟ್ರಗಳಿಗೆ ರವಾನಿಸಿ"
"Ship to Specific Countries","ನಿರ್ದಿಷ್ಟ ರಾಷ್ಟ್ರಗಳಿಗೆ ರವಾನಿಸಿ"
"Shipper Number","ರವಾನೆ ಸಂಖ್ಯೆ"
"Size","ಗಾತ್ರ"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Specific","ನಿರ್ದಿಷ್ಟ"
"Subtotal","ಉಪಮೊತ್ತ"
"Title","ಶೀರ್ಷಿಕೆ"
"UPS Type","UPS ವಿಧ"
"User ID","ಬಳಕೆದಾರರ ID"
"Width","ಅಗಲ"
"Yes","ಹೌದು"
"cm","ಸೆಮಿ"
"inch","ಅಂಗುಲ"
