"* Required Fields","* ಅಗತ್ಯವಿರುವ ವಿವರಗಳು"
"Add All to Cart","ಎಲ್ಲವನ್ನೂ ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add to Cart","ಶಾಪಿಂಗ್ ಬುಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Add to Compare","ಹೋಲಿಸಲು ಸೇರಿಸಿ"
"Add to Wishlist","ಇಚ್ಛಾಪಟ್ಟಿಗೆ ಸೇರಿಸಿ"
"Back","ಹಿಂದೆ"
"Cannot specify product.","ಉತ್ಪನ್ನವನ್ನು ಸೂಚಿಸಲಾಗಲಿಲ್ಲ."
"Click for price","ದರಕ್ಕಾಗಿ ಕ್ಲಿಕ್ ಮಾಡಿ"
"Comment","ಅಭಿಪ್ರಾಯ"
"Comment:","ಅಭಿಪ್ರಾಯ:"
"Date Added","ಸೇರಿಸಿದ ದಿನಾಂಕ"
"Edit","ಸಂಪಾದಿಸಿ"
"Email Sender","ಮಿಂಚೆ ರವಾನೆದಾರ"
"Email Template","ಮಿಂಚೆಯ ಮಾದರಿ"
"Email addresses, separated by commas","ಮಿಂಚೆ ವಿಳಾಸಗಳು, ಕಾಮಾ ವಿಭಜಿತ"
"Enabled","ಸಕ್ರಿಯವಾಗಿದೆ"
"General Options","ಸಾಮಾನ್ಯ ಆಯ್ಕೆಗಳು"
"In stock","ದಾಸ್ತಾನಿನಲ್ಲಿದೆ"
"Last Added Items","ಕೊನೆಯದಾಗಿ ಸೇರಿಸಿದ ವಸ್ತುಗಳು"
"Message","ಸಂದೇಶ"
"Options Details","ಆಯ್ಕೆಗಳ ವಿವರ"
"Out of stock","ದಾಸ್ತಾನಿನಲ್ಲಿಲ್ಲ"
"Price","ದರ"
"Product","ಉತ್ಪನ್ನ"
"Product Details and Comment","ಉತ್ಪನ್ನದ ವಿವರಗಳು ಮತ್ತು ಅಭಿಪ್ರಾಯ"
"Qty","ಪರಿಮಾಣ"
"Remove Item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Remove This Item","ಈ ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Remove item","ವಸ್ತುವನ್ನು ತೆಗೆದುಹಾಕಿ"
"Share Options","ಹಂಚಿಕೆ ಆಯ್ಕೆಗಳು"
"Sharing Information","ಹಂಚಿಕೆ ಮಾಹಿತಿ"
"User Description","ಬಳಕೆದಾರರ ವಿವರಣೆ"
"View Details","ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"View Product","ಉತ್ಪನ್ನವನ್ನು ವೀಕ್ಷಿಸಿ"
"What's this?","ಇದು ಏನು?"
"Wishlist","ಇಚ್ಛಾಪಟ್ಟಿ"
