"* Required Fields","* જરૂરી માહિતી"
"ALL GROUPS","બધા ગ્રુપ્સ"
"Account Information","ખાતાની માહિતી"
"Account Sharing Options","એકાઉન્ટ શેરિંગ વિકલ્પો"
"Action","ક્રિયા"
"Add New Address","નવું સરનામું ઉમેરો"
"Add New Customer","નવું ગ્રાહક ઉમેરો"
"Add New Customer Group","નવું ગ્રાહક જૂથ ઉમેરો"
"Additional Address Entries","વધારાની સરનામાં પ્રવેશો"
"Address","સરનામું"
"Address Book","સરનામા પુસ્તિકા"
"Address Information","સરનામાંની માહિતી"
"Address Templates","સરનામું નમૂનાઓ"
"Addresses","સરનામાંઓ"
"Admin","એડમિન"
"All","બધા"
"All Store Views","
                    બધા સ્ટોર દૃશ્યો
                "
"All countries","બધા દેશો"
"Always optional.","હંમેશા વૈકલ્પિક."
"Amount","રકમ"
"Are you sure you want to delete this address?","શું તમે ખરેખર આ સરનામું કાઢી નાખવા માંગો છો?"
"Are you sure?","શું તમે ખાતરી કરો છો?"
"Assign a Customer Group","ગ્રાહક જૂથ સોંપવું"
"Average Sale","સરેરાશ વેચાણ"
"Back","પાછું"
"Bad request.","ખરાબ વિનંતી."
"Cancel","રદ કરો"
"Change Billing Address","બિલિંગ સરનામું બદલો"
"Change Password","પાસવર્ડ બદલો"
"Change Shipping Address","શિપિંગ સરનામું બદલો"
"City","શહેર"
"Company","કંપની"
"Configure","રૂપરેખાંકિત કરો"
"Confirm New Password","નવાપાસવર્ડની પુષ્ટી કરો"
"Confirm Password","પાસવર્ડની પુષ્ટિ કરો"
"Confirmation Link Email","પુષ્ટિ લિંક ઇમેઇલ"
"Confirmed","પુષ્ટિ"
"Contact Information","સંપર્ક માહિતી"
"Continue Shopping","ખરીદારી ચાલુ રાખો"
"Country","દેશ"
"Create","બનાવો"
"Create New Account Options","નવું ખાતું વિકલ્પો બનાવો"
"Create Order","ઓર્ડર બનાવો"
"Create an Account","એક ખાતુ બનાવો"
"Current Password","અત્યારનો પાસવર્ડ"
"Customer","
                    ગ્રાહક
                "
"Customer Configuration","ગ્રાહક રૂપરેખાંકન"
"Customer Group","ગ્રાહક જૂથ"
"Customer Groups","ગ્રાહક જૂથ"
"Customer Information","ગ્રાહક માહિતી"
"Customer Since","ત્યારથી ગ્રાહક"
"Customer View","કસ્ટમર વ્યૂ"
"Customer will stay on the current page if ""No"" is selected.","જો ""ના"" પસંદ કરવામાં આવે તો ગ્રાહક વર્તમાન પૃષ્ઠ પર રહેશે."
"Customers","ગ્રાહકો"
"Date","તારીખ"
"Date Added","તારીખ ઉમેરી"
"Date of Birth","જન્મ તારીખ"
"Day","દિવસ"
"Default Addresses","ડિફૉલ્ટ સરનામાં"
"Default Billing Address","ડિફૉલ્ટ બિલિંગ સરનામું"
"Default Group","ડિફોલ્ટ ગ્રુપ"
"Default Shipping Address","ડિફૉલ્ટ શિપિંગ સરનામું"
"Default Value for Disable Automatic Group Changes Based on VAT ID","VAT ID પર આધારીત સ્વચાલિત જૂથ પરિવર્તનોને અક્ષમ કરવા માટેનું ડિફૉલ્ટ મૂલ્ય"
"Default Welcome Email","મૂળભૂત સ્વાગત ઇમેઇલ"
"Delete","
                    કાઢી નાખો
                "
"Delete Customer","ગ્રાહક કાઢી નાખો"
"Delete Customer Group","ગ્રાહક જૂથ કાઢી નાખો"
"Deleted Stores","કાઢી નાખેલા સ્ટોર્સ"
"Details","વિગતો"
"Disabled","
                    અક્ષમ
                "
"Edit","સંપાદિત કરો"
"Edit Account Information","એકાઉન્ટ માહિતી સંપાદિત કરો"
"Edit Address","સરનામું સંપાદિત કરો"
"Edit Customer Groups","ગ્રાહક જૂથો સંપાદિત કરો"
"Edit Group","ગ્રુપ સંપાદિત કરો"
"Email","
                    ઇમેલ
                "
"Email Address","ઈ - મેઈલ સરનામું"
"Email Sender","ઇમેઇલ પ્રેષક"
"Email:","ઇમેઇલ:"
"Enable Automatic Assignment to Customer Group","ગ્રાહક જૂથમાં સ્વચાલિત સોંપણી સક્ષમ કરો"
"Fax","ફેક્સ"
"First Name","
                    પ્રથમ નામ (તમારું નામ)
                "
"Forgot Email Template","ઇમેઇલ ઢાંચો ભૂલી ગયા છો"
"Forgot Your Password?","તમારો પાસવર્ડ ભૂલી ગયા છો?"
"Gender","જાતિ"
"General Subscription","સામાન્ય સબ્સ્ક્રિપ્શન"
"Generate Human-Friendly Customer ID","માનવ-મૈત્રીપૂર્ણ ગ્રાહક ID જનરેટ કરો"
"Global","વૈશ્વિક"
"Group","ગ્રુપ"
"Group Information","ગ્રુપ માહિતી"
"Group Name","ગ્રુપ નામ"
"Group for Invalid VAT ID","અમાન્ય VAT ID માટે જૂથ"
"Group for Valid VAT ID - Domestic","માન્ય વેટ ID માટે જૂથ - ઘરેલું"
"Group for Valid VAT ID - Intra-Union","માન્ય વેટ આઈડી માટે જૂથ - ઇન્ટ્રા-યુનિયન"
"Guest","
                    મહેમાન
                "
"ID","આઇડી"
"Invalid login or password.","અમાન્ય લૉગિન અથવા પાસવર્ડ."
"Last Activity","છેલ્લી પ્રવૃત્તિ"
"Last Date Subscribed","છેલ્લી તારીખ સબ્સ્ક્રાઇબ કરેલ"
"Last Date Unsubscribed","છેલ્લી તારીખ અનસબ્સ્ક્રાઇબ કર્યું"
"Last Name","
                    અટક
                "
"Leave empty for default (15 minutes).","ડિફૉલ્ટ (15 મિનિટ) માટે ખાલી છોડો."
"Lifetime Sales","
                    લાઇફટાઇમ સેલ્સ
                "
"Login","પ્રવેશ કરો"
"Login Options","લૉગિન વિકલ્પો"
"Month","માસ"
"My Account","
                    મારુ ખાતુ
                "
"My Orders","મારા ઓર્ડર"
"Name","
                    નામ
                "
"Name and Address Options","નામ અને સરનામું વિકલ્પો"
"Never","ક્યારેય"
"New Address","નવું સરનામું"
"New Customer","નવો ગ્રાહક"
"New Customer Group","નવું ગ્રાહક જૂથ"
"New Customer Groups","નવા ગ્રાહક જૂથો"
"New Customers","નવા ગ્રાહકો"
"New Group","નવું જૂથ"
"New Password","
                    નવો પાસવર્ડ
                "
"Newsletter","ન્યૂઝલેટર"
"Newsletter Information","ન્યૂઝલેટર માહિતી"
"Newsletter Subscription","ન્યૂઝલેટર સબ્સ્ક્રિપ્શન"
"Newsletters","ન્યૂઝલેટર્સ"
"No Items Found","કોઈ આઇટમ્સ મળી નથી"
"No Newsletter Found","કોઈ ન્યૂઝલેટર મળ્યું નથી"
"No item specified.","કોઈ આઇટમ ઉલ્લેખિત નથી."
"Not Sent","મોકલ્યો નથી"
"Offline","ઑફલાઇન"
"Online","ઑનલાઇન"
"Online Customers","ઑનલાઇન ગ્રાહકો"
"Online Customers Options","ઑનલાઇન ગ્રાહકો વિકલ્પો"
"Online Minutes Interval","ઑનલાઇન મિનિટ અંતરાલ"
"Order #","ઑર્ડર #"
"Order Total","ઓર્ડર કુલ"
"Orders","
                    ઓર્ડર
                "
"Password","પાસવર્ડ"
"Password Options","પાસવર્ડ વિકલ્પો"
"Password forgotten","પાસવર્ડ ભૂલી ગયા છો"
"Password:","પાસવર્ડ:"
"Paused","થોભાવ્યું"
"Pending","બાકી"
"Per Website","વેબસાઇટ દીઠ"
"Personal Information","વ્યક્તિગત માહિતી"
"Please enter a number 1 or greater in this field.","કૃપા કરીને આ ક્ષેત્રમાં કોઈ સંખ્યા 1 અથવા વધુ દાખલ કરો."
"Please enter the city.","કૃપા કરીને શહેર દાખલ કરો."
"Please enter the country.","કૃપા કરીને દેશ દાખલ કરો."
"Please enter the first name.","કૃપા કરીને પ્રથમ નામ દાખલ કરો."
"Please enter the last name.","કૃપા કરીને છેલ્લું નામ દાખલ કરો."
"Please enter the state/province.","રાજ્ય / પ્રાંત દાખલ કરો."
"Please enter the street.","કૃપા કરીને શેરી દાખલ કરો."
"Please enter the zip/postal code.","કૃપા કરીને ઝિપ / પોસ્ટલ કોડ દાખલ કરો."
"Please enter your email.","કૃપા કરીને તમારું ઇમેઇલ દાખલ કરો."
"Please make sure your passwords match.","કૃપા કરીને ખાતરી કરો કે તમારા પાસવર્ડ્સ મેચ કરે છે."
"Prefix Dropdown Options","ઉપસર્ગ ડ્રોપડાઉન વિકલ્પો"
"Price","કિંમત"
"Product","ઉત્પાદન"
"Product Name","ઉત્પાદન નામ"
"Qty","ક્યુટી"
"Recent Orders","તાજેતરના આદેશો"
"Recovery Link Expiration Period (hours)","પુનઃપ્રાપ્તિ લિંક સમાપ્તિ સમયગાળો (કલાકો)"
"Redirect Customer to Account Dashboard after Logging in","લોગ ઇન કર્યા પછી ગ્રાહકને એકાઉન્ટ ડેશબોર્ડ પર રીડાયરેક્ટ કરો"
"Refunded","રિફંડ"
"Registered Customers","રજિસ્ટર્ડ ગ્રાહકો"
"Remind Email Template","ઇમેઇલ ઢાંચો રીમાઇન્ડ"
"Remove","દૂર કરો"
"Require Emails Confirmation","ઇમેઇલ પુષ્ટિ જરૂરી છે"
"Reset a Password","પાસવર્ડ ફરીથી સેટ કરો"
"SKU","એસકેયુ"
"Sales Statistics","વેચાણ આંકડા"
"Save","
                    સાચવો
                "
"Save Address","સરનામું સાચવો"
"Save Customer","ગ્રાહક સાચવો"
"Save Customer Group","ગ્રાહક જૂથ સાચવો"
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"Send confirmation link","પુષ્ટિકરણ લિંક મોકલો"
"Sending","મોકલી રહ્યું છે"
"Sent","મોકલેલ"
"Share Customer Accounts","ગ્રાહક એકાઉન્ટ્સ શેર કરો"
"Shopping Cart","શોપિંગ કાર્ટ"
"Show Date of Birth","જન્મ તારીખ બતાવો"
"Show Gender","જાતિ બતાવો"
"Show Middle Name (initial)","મધ્ય નામ બતાવો (પ્રારંભિક)"
"Show Prefix","ઉપસર્ગ બતાવો"
"Show Suffix","ઉપસર્ગ બતાવો"
"Show Tax/VAT Number","કર / વેટ નંબર બતાવો"
"Sign Up for Newsletter","સમાચાર પત્ર માટે સ્વીકૃતિ આપો"
"State/Province","રાજ્ય / પ્રાંત"
"Status","સ્થિતિ"
"Store","સંગ્રહ"
"Store View","દુકાન દૃશ્ય"
"Street Address","શેરીનુ સરનામું"
"Subject","વિષય"
"Submit","
                    સબમિટ કરો
                "
"Subscribe to Newsletter","ન્યૂઝલેટર સબ્સ્ક્રાઇબ કરો"
"Suffix Dropdown Options","Suffix નીચે આવતા વિકલ્પો"
"Tax Calculation Based On","કર આધારિત ગણતરી"
"Tax Class","કર વર્ગ"
"Text","ટેક્સ્ટ"
"The VAT ID entered (%s) is not a valid VAT ID.","દાખલ કરેલ VAT ID (%s) માન્ય VAT ID નથી."
