"Action","ક્રિયા"
"Add","ઉમેરો"
"Add to Cart","સૂચી માં સામેલ કરો"
"Add to Wishlist","ઈચ્છા ની યાદ I માં ઉમેરવું"
"Are you sure you want to do this?","
                    તમે આ કરવા બાબતે સુનિશ્ચિત છો?
                "
"Are you sure?","શું તમે ખાતરી કરો છો?"
"Back","પાછું"
"Block Information","
                    બ્લોક માહિતી
                "
"Change status","સ્થિતિ બદલો"
"Country","દેશ"
"Customer Since","ત્યારથી ગ્રાહક"
"Customers","ગ્રાહકો"
"Delete","
                    કાઢી નાખો
                "
"Disabled","
                    અક્ષમ
                "
"Email","
                    ઇમેલ
                "
"First Name","
                    પ્રથમ નામ (તમારું નામ)
                "
"General Information","સામાન્ય માહિતી"
"Grid","ગ્રીડ"
"ID","આઇડી"
"Last Name","
                    અટક
                "
"List","યાદી"
"Name","
                    નામ
                "
"Pending","બાકી"
"Price","કિંમત"
"Product Name","ઉત્પાદન નામ"
"Products","ઉત્પાદનો"
"Remove","દૂર કરો"
"SKU","એસકેયુ"
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"Status","સ્થિતિ"
"Store View","દુકાન દૃશ્ય"
"Update","સુધારો"
"ZIP/Post Code","ઝીપ / પોસ્ટ કોડ"
"[STORE VIEW]","[સ્ટોર જુઓ]"
