"-- Please Select --","
                    -- મહેરબાની કરી, પસંદ કરો --
                "
"Add New Class","નવો વર્ગ ઉમેરો"
"Add New Tax Rate","નવો કર દર ઉમેરો"
"Add New Tax Rule","નવો કર નિયમ ઉમેરો"
"After Discount","ડિસ્કાઉન્ટ પછી"
"Apply Customer Tax","ગ્રાહક કર લાગુ કરો"
"Apply Discount On Prices","કિંમતો પર ડિસ્કાઉન્ટ લાગુ કરો"
"Apply Tax On","પર ટેક્સ લાગુ કરો"
"Are you sure you want to do this?","
                    તમે આ કરવા બાબતે સુનિશ્ચિત છો?
                "
"Back","પાછું"
"Before Discount","ડિસ્કાઉન્ટ પહેલાં"
"Calculation Settings","ગણતરી સેટિંગ્સ"
"Catalog Prices","કેટલોગ કિંમતો"
"Code","
                    કોડ
                "
"Country","દેશ"
"Custom price if available","જો ઉપલબ્ધ હોય તો કસ્ટમ કિંમત"
"Customer Tax Class","ગ્રાહક કરનો વર્ગ"
"Default Country","ડિફaultલ્ટ દેશ"
"Default Post Code","ડિફaultલ્ટ પોસ્ટ કોડ"
"Default State","ડિફaultલ્ટ રાજ્ય"
"Default Tax Destination Calculation","ડિફોલ્ટ ટેક્સ ડેસ્ટિનેશન ગણતરી"
"Delete Rate","દર કાઢી નાખો"
"Delete Rule","નિયમ કાઢી નાખો"
"Display Full Tax Summary","સંપૂર્ણ કરનો સારાંશ દર્શાવો"
"Display Prices","કિંમતો દર્શાવો"
"Display Product Prices In Catalog","કેટલોગમાં ઉત્પાદન કિંમતો દર્શાવો"
"Display Shipping Amount","શિપિંગની રકમ દર્શાવો"
"Display Shipping Prices","શીપીંગ કિંમતો દર્શાવો"
"Display Subtotal","પેટાસરવાળો દર્શાવો"
"Display Zero Tax Subtotal","ઝીરો ટેક્સ સબટોટલ દર્શાવો"
"Edit Rule","નિયમ સંપાદિત કરો"
"Edit Tax Rate","કર દર સંપાદિત કરો"
"Enable Cross Border Trade","ક્રોસ બોર્ડર ટ્રેડને સક્ષમ કરો"
"Excl. Tax","કર બાકાત કરીને"
"Excluding Tax","કર સિવાય"
"Grand Total (Excl. Tax)","ભવ્ય કુલ (એક્સ્ક્લે. ટેક્સ)"
"Grand Total (Excl.Tax)","ગ્રાંડ ટોટલ (એક્સક્લ.ટેક્સ)"
"Grand Total (Incl. Tax)","ભવ્ય કુલ (સમાવેશ કર)"
"Grand Total (Incl.Tax)","ગ્રાંડ કુલ (Incl.Tax)"
"Grand Total Excl. Tax","ગ્રાન્ડ ટોટલ એક્સક્લુઝ. કર"
"Grand Total Incl. Tax","ગ્રાન્ડ ટોટલ ઇન્ક. કર"
"Inc. Tax","ઇન્ક. ટેક્સ"
"Incl. Tax","શામેલ કર"
"Including Tax","કર સહિત"
"Including and Excluding Tax","કર અને બાકાત સિવાય"
"Tax Rules","કર નિયમો"
"Name","
                    નામ
                "
"New Rule","નવો નિયમ"
"New Tax Rate","નવો કર દર"
"No","ના"
"None","કંઈ નહીં"
"Orders, Invoices, Credit Memos Display Settings","ઓર્ડર્સ, ઇન્વicesઇસેસ, ક્રેડિટ મેમોઝ ડિસ્પ્લે સેટિંગ્સ"
"Original price only","મૂળ કિંમત જ"
"Price Display Settings","ભાવ પ્રદર્શન સેટિંગ્સ"
"Priority","પ્રાથમિકતા"
"Product Tax Class","પ્રોડક્ટ ટેક્સનો વર્ગ"
"Range From","પ્રતિ શ્રેણી"
"Range To","શ્રેણી"
"Range To should be equal or greater than Range From.","રેંજ ટૂ બરાબર અથવા તેના કરતા વધારે હોવી જોઈએ."
"Rate","દર"
"Rate Percent","દર ટકા"
"Reset","ફરીથી સેટ કરો"
"Row Total","પંક્તિ કુલ"
"Sales","વેચાણ"
"Save Rate","દર બચાવો"
"Save Rule","નિયમ સાચવો"
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"Shipping & Handling (Excl.Tax)","શિપિંગ અને હેન્ડલિંગ (એક્સ્ક્લ.ટેક્સ)"
"Shipping & Handling (Incl.Tax)","શિપિંગ અને હેન્ડલિંગ (Incl.Tax)"
"Shipping (Excl. Tax)","શિપિંગ (એક્સ્ક્લે. ટેક્સ)"
"Shipping (Incl. Tax)","શિપિંગ (ટેક્સ સહિત)"
"Shipping Prices","શીપીંગ કિંમતો"
"Shopping Cart Display Settings","શોપિંગ કાર્ટ ડિસ્પ્લે સેટિંગ્સ"
"Sort Order","
                    ક્રમબધ ઓર્ડર
                "
"State","રાજ્ય"
"State/Region","રાજ્ય / ક્ષેત્ર"
"Subtotal (Excl. Tax)","સબટૉટલ (એક્ક્લે. કર)"
"Subtotal (Excl.Tax)","પેટાસરવાળો (એક્સ્ક્લે.ટેક્સ)"
"Subtotal (Incl. Tax)","સબટૉટલ (શાખ કર)"
"Subtotal (Incl.Tax)","પેટાસરવાળો (Incl.Tax)"
"Tax","
                    ટેક્સ
                "
"Tax Calculation Based On","કર આધારિત ગણતરી"
"Tax Calculation Method Based On","પર આધારિત કરની ગણતરીની પદ્ધતિ"
"Tax Class for Shipping","શિપિંગ માટે ટેક્સ વર્ગ"
"Tax Classes","કર વર્ગો"
"Tax Identifier","કર ઓળખકર્તા"
"Tax Rate","કર દર"
"Tax Rate Information","કર દરની માહિતી"
"Tax Rule Information","ટેક્સ નિયમની માહિતી"
"Tax Titles","કર શિર્ષકો"
"Tax rates at the same priority are added, others are compounded.","સમાન અગ્રતા પર કરવેરા દર ઉમેરવામાં આવે છે, અન્ય સંયુક્ત હોય છે."
"The tax rule has been deleted.","ટેક્સનો નિયમ કાઢી નાખવામાં આવ્યો છે."
"This rule no longer exists.","આ નિયમ હવે અસ્તિત્વમાં નથી."
"Total","
                    કુલ
                "
"Unit Price","એકમ ભાવ"
"Yes","હા"
"Zip/Post Code","પિન / પોસ્ટ કોડ"
"Zip/Post is Range","ઝિપ / પોસ્ટ રેંજ છે"
