"Add","ઉમેરો"
"Add New Row","નવી પંક્તિ ઉમેરો"
"Back","પાછું"
"Canceled","રદ"
"Date","તારીખ"
"Delete","
                    કાઢી નાખો
                "
"Edit","સંપાદિત કરો"
"Edit item parameters","આઇટમ પરિમાણો ફેરફાર કરો"
"Excl. Tax","કર બાકાત કરીને"
"From:","પ્રતિ:"
"Gift Message","ભેટ સંદેશ"
"In stock","ઉપલબ્ધ છે"
"Incl. Tax","શામેલ કર"
"Invoiced","ભરતિયું"
"List","યાદી"
"Message:","સંદેશ"
"Order #","ઑર્ડર #"
"Ordered","આદેશ આપ્યો"
"Out of stock","સ્ટોક સમાપ્ત"
"Pending","બાકી"
"Price","કિંમત"
"Qty","ક્યુટી"
"Refunded","રિફંડ"
"Remove","દૂર કરો"
"Remove Item","આઇટમ દૂર કરો"
"SKU","એસકેયુ"
"See price before order confirmation.","ઓર્ડર પુષ્ટિ પહેલાં ભાવ જુઓ."
"Shipped","મોકલેલ"
"Sort Order","
                    ક્રમબધ ઓર્ડર
                "
"Status","સ્થિતિ"
"Subtotal","પેટાસરવાળો"
"Title","શીર્ષક"
"To:","ને:"
"Update","સુધારો"
"Use Default Value","ડિફaultલ્ટ મૂલ્યનો ઉપયોગ કરો"
"View Order","ઑર્ડર જુઓ"
"What's this?","આ શું છે?"
