"Add Option","વિકલ્પ ઉમેરો"
"Attribute Code","એટ્રિબ્યુટ કોડ"
"Attribute Label","એટ્રિબ્યુટ લેબલ"
"Attribute Properties","ગુણધર્મો ગુણધર્મો"
"Attribute object is undefined","લક્ષણ પદાર્થ અવ્યાખ્યાયિત છે"
"Attribute with the same code","સમાન કોડ સાથેનું લક્ષણ"
"Catalog Input Type for Store Owner","સ્ટોર માલિક માટે કેટલોગ ઇનપુટ પ્રકાર"
"Date","તારીખ"
"Decimal Number","દશાંશ નંબર"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","દ્વારા ડિફaultલ્ટ પ્રોડક્ટ લિસ્ટિંગ સortર્ટ ઉપલબ્ધ ઉત્પાદન સૂચિ સ Sર્ટ દ્વારા અસ્તિત્વમાં નથી."
"Default Value","ડિફaultલ્ટ મૂલ્ય"
"Delete","
                    કાઢી નાખો
                "
"Dropdown","નીચે આવતા"
"Email","
                    ઇમેલ
                "
"Entity is not initialized","એન્ટિટી પ્રારંભ થયેલ નથી"
"Entity object is undefined","એન્ટિટી objectબ્જેક્ટ અસ્પષ્ટ છે"
"Form Element with the same attribute","સમાન લક્ષણ સાથે ફોર્મ એલિમેન્ટ"
"Form Fieldset with the same code","સમાન કોડ સાથે ફોર્મ ફીલ્ડસેટ"
"Form Type with the same code","સમાન કોડ સાથે ફોર્મ પ્રકાર"
"Input Validation for Store Owner","સ્ટોર માલિક માટે ઇનપુટ માન્યતા"
"Integer Number","પૂર્ણાંક નંબર"
"Invalid alias, already exists in joint attributes","અમાન્ય ઉપનામ, સંયુક્ત લક્ષણોમાં પહેલાથી અસ્તિત્વમાં છે"
"Invalid date","અમાન્ય તારીખ"
"Invalid joint fields","અમાન્ય સંયુક્ત ક્ષેત્રો"
"Joint field or attribute expression with this alias is already declared","આ ઉપનામ સાથે સંયુક્ત ક્ષેત્ર અથવા લક્ષણ અભિવ્યક્તિ પહેલાથી ઘોષિત થઈ ગઈ છે"
"Letters","અક્ષરો"
"Letters (a-z, A-Z) or Numbers (0-9)","લેટર્સ (એ-ઝેડ, એ-ઝેડ) અથવા સંખ્યાઓ (0-9)"
"Multiple Select","મલ્ટીપલ સિલેક્ટ"
"No","ના"
"None","કંઈ નહીં"
"Required","જરૂરી"
"System","સિસ્ટમ"
"Text Area","ટેક્સ્ટ ક્ષેત્ર"
"Text Field","ટેક્સ્ટ ફીલ્ડ"
"Unique Value","અનન્ય મૂલ્ય"
"Unique Value (not shared with other products)","અનન્ય મૂલ્ય (અન્ય ઉત્પાદનો સાથે વહેંચાયેલું નથી)"
"Values Required","મૂલ્યો આવશ્યક છે"
"Yes","હા"
"Yes/No","હા નાં"
