"* Required Fields","* જરૂરી માહિતી"
"Address","સરનામું"
"Address Information","સરનામાંની માહિતી"
"Back","પાછું"
"City","શહેર"
"Close","બંધ"
"Company","કંપની"
"Confirm Password","પાસવર્ડની પુષ્ટિ કરો"
"Continue","ચાલુ રાખો"
"Country","દેશ"
"Create an Account","એક ખાતુ બનાવો"
"Email Address","ઈ - મેઈલ સરનામું"
"Fax","ફેક્સ"
"Forgot Your Password?","તમારો પાસવર્ડ ભૂલી ગયા છો?"
"Forgot your password?","તમારો પાસવર્ડ ભૂલી ગયા છો?"
"General Options","સામાન્ય વિકલ્પો"
"Login","પ્રવેશ કરો"
"New Customers","નવા ગ્રાહકો"
"Password","પાસવર્ડ"
"Personal Information","વ્યક્તિગત માહિતી"
"Registered Customers","રજિસ્ટર્ડ ગ્રાહકો"
"Save in address book","એડ્રેસ બુકમાં સેવ કરો"
"Sign Up for Newsletter","સમાચાર પત્ર માટે સ્વીકૃતિ આપો"
"State/Province","રાજ્ય / પ્રાંત"
"Street Address","શેરીનુ સરનામું"
"Submit","
                    સબમિટ કરો
                "
"VAT Number","વેટ નંબર"
"What's this?","આ શું છે?"
"Zip/Postal Code","ઝીપ / પોસ્ટલ કોડ"
