"Action","ક્રિયા"
"Back","પાછું"
"Cancel","રદ કરો"
"Customer","
                    ગ્રાહક
                "
"Date Added","તારીખ ઉમેરી"
"Delete","
                    કાઢી નાખો
                "
"Email","
                    ઇમેલ
                "
"Guest","
                    મહેમાન
                "
"ID","આઇડી"
"Message","સંદેશ"
"Newsletter","ન્યૂઝલેટર"
"Newsletter Subscription","ન્યૂઝલેટર સબ્સ્ક્રિપ્શન"
"Not Sent","મોકલ્યો નથી"
"Paused","થોભાવ્યું"
"Please enter a valid email address.","કૃપા કરીને માન્ય ઇમેઇલ સરનામું દાખલ કરો."
"Preview","પૂર્વાવલોકન"
"Reset","ફરીથી સેટ કરો"
"Sending","મોકલી રહ્યું છે"
"Sent","મોકલેલ"
"Status","સ્થિતિ"
"Store","સંગ્રહ"
"Store View","દુકાન દૃશ્ય"
"Subject","વિષય"
"Submit","
                    સબમિટ કરો
                "
"Type","લખો"
"Website","વેબસાઇટ"
