" [deleted]"," [કાઢી નાખ્યું]"
"* Required Fields","* જરૂરી માહિતી"
"-- Please Select --","
                    -- મહેરબાની કરી, પસંદ કરો --
                "
"-- Please Select a Category --","- કૃપા કરીને કોઈ કેટેગરી પસંદ કરો -"
"-- Please select --","-- કૃપા કરી પસંદ કરો --"
"--Please Select--","--કૃપા કરી પસંદ કરો--"
"1 Hour","1 કલાક"
"12 Hours","12 કલાક"
"12h AM/PM","12 એએચ / પીએમ"
"2 Hours","2 કલાક"
"24 Hours","24 કલાક"
"24h","24 ક"
"6 Hours","6 કલાક"
"A user with the same user name or email already exists.","સમાન વપરાશકર્તા નામ અથવા ઇમેઇલ સાથેનો વપરાશકર્તા પહેલેથી જ અસ્તિત્વમાં છે."
"About the calendar","કૅલેન્ડર વિશે"
"Account Created in:","એકાઉન્ટ બનાવ્યું:"
"Account Information","ખાતાની માહિતી"
"Account Status","ખાતાની સ્થિતિ"
"Action","ક્રિયા"
"Actions","ક્રિયાઓ"
"Active","સક્રિય"
"Add","ઉમેરો"
"Add New","નવો ઉમેરો"
"Add New Block","નવું બ્લોક ઉમેરો"
"Add New Image","
                    નવી છબી ઉમેરો
                "
"Add New Role","નવી ભૂમિકા ઉમેરો"
"Add New User","નવો વપરાશકર્તા ઉમેરો"
"Add Products","ઉત્પાદનો ઉમેરો"
"Add after","પછી ઉમેરો"
"Admin","એડમિન"
"Advanced Admin Section","ઉન્નત સંચાલન વિભાગ"
"Advanced Section","અદ્યતન વિભાગ"
"All","બધા"
"All Cache","
                    બધા કેશ
                "
"All Files","
                    બધી ફાઇલ
                "
"All Store Views","
                    બધા સ્ટોર દૃશ્યો
                "
"All Websites","બધી વેબસાઇટ્સ"
"All countries","બધા દેશો"
"Always (during development)","હંમેશા (વિકાસ દરમિયાન)"
"Amounts","
                    રકમ
                "
"An error occurred while deleting this role.","આ ભૂમિકાને કાtingતી વખતે ભૂલ આવી."
"An error occurred while saving this role.","આ ભૂમિકા સાચવતી વખતે ભૂલ આવી."
"Any","કોઈપણ"
"Are you sure you want to do this?","
                    તમે આ કરવા બાબતે સુનિશ્ચિત છો?
                "
"Assigned","સોંપ્યું"
"Attributes","લક્ષણો"
"Authorize","અધિકૃત કરો"
"Automatic (equalize price ranges)","આપોઆપ (ભાવની શ્રેણી સમાન કરો)"
"Automatic (equalize product counts)","આપોઆપ (ઉત્પાદનની ગણતરી બરાબરી કરો)"
"Back","પાછું"
"Backup","બૅકઅપ"
"Backup Name","બેકઅપ નામ"
"Backup options","બૅકઅપ વિકલ્પો"
"Backups","બૅકઅપ્સ"
"Base currency","આધાર ચલણ"
"Bcc","બીસીસી"
"Bestsellers","
                    શ્રેષ્ઠ વેચનાર
                "
"Billing Address","બિલિંગ સરનામું"
"Billing Address: ","બિલિંગ સરનામું: "
"Block Information","
                    બ્લોક માહિતી
                "
"Blocks","બ્લોક્સ"
"Both (without and with tax)","બંને (કર વગર અને સાથે)"
"CMS","સી.એમ.એસ."
"Cache Control","
                    કેશ નિયંત્રણ
                "
"Cancel","રદ કરો"
"Cannot add new comment.","નવી ટિપ્પણી ઉમેરી શકતા નથી."
"Cannot update item quantity.","આઇટમ જથ્થો અપડેટ કરી શકતા નથી."
"Catalog","કેટલોગ"
"Catalog Rewrites","
                    કેટલોગ રીવાઈટ્સ
                "
"Categories","શ્રેણીઓ"
"Category","કેટેગરી"
"Child Transactions","બાળ વ્યવહારો"
"Clear","
                    સાફ
                "
"Close","બંધ"
"Code","
                    કોડ
                "
"Complete","પૂર્ણ"
"Config form fieldset clone model required to be able to clone fields","ક્ષેત્રો ક્લોન કરવા માટે સક્ષમ થવા માટે રૂપરેખા ફોર્મ ફીલ્ડસેટ ક્લોન મોડેલ આવશ્યક છે"
"Configuration","રૂપરેખાંકન"
"Confirm New Password","નવાપાસવર્ડની પુષ્ટી કરો"
"Confirmed email:","પુષ્ટિ કરેલ ઇમેઇલ:"
"Continue","ચાલુ રાખો"
"Country","દેશ"
"Coupons","કુપન્સ"
"Create","બનાવો"
"Create DB Backup","
                    ડીબી બેકઅપ બનાવો
                "
"Create New Attribute","નવું એટ્રિબ્યુટ બનાવો"
"Created At","બનાવ્યું"
"Credit Memo History","ક્રેડિટ મેમો ઇતિહાસ"
"Credit Memo Totals","ક્રેડિટ મેમો totals"
"Credit Memos","ક્રેડિટ મેમોસ"
"Currency Setup Section","કરન્સી સેટઅપ સેક્શન"
"Current Configuration Scope:","વર્તમાન રૂપરેખાંકન અવકાશ:"
"Custom","શિરસ્તો"
"Customer","
                    ગ્રાહક
                "
"Customer Group:","ગ્રાહક જૂથ:"
"Customer Groups","ગ્રાહક જૂથ"
"Customer Name","ગ્રાહક નું નામ"
"Customers","ગ્રાહકો"
"Dashboard","ડેશબોર્ડ"
"Database","ડેટાબેઝ"
"Date","તારીખ"
"Date Added","તારીખ ઉમેરી"
"Day","દિવસ"
"Default Billing Address","ડિફૉલ્ટ બિલિંગ સરનામું"
"Default Config","ડિફaultલ્ટ રૂપરેખા"
"Default Values","ડિફaultલ્ટ મૂલ્યો"
"Default scope","ડિફોલ્ટ અવકાશ"
"Delete","
                    કાઢી નાખો
                "
"Delete Block","કાઢી નાંખો"
"Delete File","ફાઇલ કાઢી નાખો"
"Delete Image","છબી કાઢી નાખો"
"Delete Role","ભૂમિકા કાઢી નાખો"
"Delete Store","
                    સ્ટોર કાઢી નાખો
                "
"Delete User","વપરાશકર્તાને કાઢી નાખો"
"Description","વર્ણન"
"Design","ડિઝાઇન"
"Design Section","ડિઝાઇન વિભાગ"
"Details","વિગતો"
"Developer Section","વિકાસકર્તા વિભાગ"
"Disable","
                    અક્ષમ કરો
                "
"Disabled","
                    અક્ષમ
                "
"Display default currency","ડિફ defaultલ્ટ ચલણ દર્શાવો"
"Download","ડાઉનલોડ કરો"
"Edit","સંપાદિત કરો"
"Edit Block","ફેરફાર કરો અવરોધિત કરો"
"Edit Design Change","
                    ડિઝાઇન બદલો ફેરફાર કરો
                "
"Edit Order","ઓર્ડર સંપાદિત કરો"
"Edit Role","ભૂમિકા સંપાદિત કરો"
"Edit Store View","
                    સ્ટોર દૃશ્ય સંપાદિત કરો
                "
"Edit User","વપરાશકર્તાને સંપાદિત કરો"
"Email","
                    ઇમેલ
                "
