"Add","ઉમેરો"
"Add New Role","નવી ભૂમિકા ઉમેરો"
"Admin","એડમિન"
"Assigned","સોંપ્યું"
"Attribute Set","એટ્રિબ્યુટ સેટ"
"Attributes","લક્ષણો"
"Back","પાછું"
"Backorders","બેકordersર્ડર્સ"
"Catalog","કેટલોગ"
"City","શહેર"
"Company","કંપની"
"Country","દેશ"
"Create","બનાવો"
"Customer","
                    ગ્રાહક
                "
"Delete","
                    કાઢી નાખો
                "
"Discount","છૂટ"
"Discount Amount","ડિસ્કાઉન્ટ રકમ"
"Edit","સંપાદિત કરો"
"Edit Role","ભૂમિકા સંપાદિત કરો"
"Email","
                    ઇમેલ
                "
"Enable Qty Increments","Qty વધારો સક્ષમ કરો"
"Exclude","બાકાત"
"First Name","
                    પ્રથમ નામ (તમારું નામ)
                "
"Gift Message","ભેટ સંદેશ"
"Grand Total","ગ્રાન્ડ કુલ"
"Group","ગ્રુપ"
"Guest","
                    મહેમાન
                "
"ID","આઇડી"
"Label","લેબલ"
"Last Name","
                    અટક
                "
"Manage Stock","સ્ટોક મેનેજ કરો"
"Maximum Qty Allowed in Shopping Cart","શોપિંગ કાર્ટમાં મહત્તમ ક્વોટી માન્ય છે"
"Minimum Qty Allowed in Shopping Cart","શોપિંગ કાર્ટમાં ન્યૂનતમ ક્વોટી માન્ય છે"
"New Role","નવી ભૂમિકા"
"Notify for Quantity Below","નીચે જથ્થા માટે સૂચિત કરો"
"Order","ઓર્ડર"
"Order Comments","ઓર્ડર ટિપ્પણીઓ"
"Order Date","ઓર્ડર તારીખ"
"Order ID","ઓર્ડર આઈડી"
"Order Status","ઓર્ડર સ્થિતિ"
"Orders","
                    ઓર્ડર
                "
"Original Price","મૂળ કિંમત"
"Payment Method","ચુકવણી ની રીત"
"Phone Number","ફોન નંબર"
"Placed from IP","આઇપી થી મુક્યા"
"Position","સ્થિતિ"
"Price","કિંમત"
"Product","ઉત્પાદન"
"Qty","ક્યુટી"
"Qty Increments","જથ્થો વધારો"
"Qty Uses Decimals","Qty દશાંશ ઉપયોગ કરે છે"
"Role Info","ભૂમિકાની માહિતી"
"Role Information","ભૂમિકાની માહિતી"
"Role Name","ભૂમિકા નામ"
"Role Users","ભૂમિકા વપરાશકર્તાઓ"
"Roles","ભૂમિકાઓ"
"SKU","એસકેયુ"
"Sales","વેચાણ"
"Save","
                    સાચવો
                "
"Shipping Amount","શિપિંગ રકમ"
"Shipping Method","શીપીંગ પદ્ધતિ"
"State","રાજ્ય"
"Stock Availability","સ્ટોક ઉપલબ્ધતા"
"Subtotal","પેટાસરવાળો"
"System","સિસ્ટમ"
"Tax Amount","કર રકમ"
"Tax Percent","કરવેરા"
"Tax Rate","કર દર"
"Total Due","સંપૂર્ણ કારણ"
"Total Paid","કુલ ચૂકવણી"
"Total Refunded","કુલ રિફંડ"
"Type","લખો"
"Update","સુધારો"
