"Action","ક્રિયા"
"Add to Cart","સૂચી માં સામેલ કરો"
"Add to Compare","સરખામણી કરો"
"Add to Wishlist","ઈચ્છા ની યાદ I માં ઉમેરવું"
"Any","કોઈપણ"
"Are you sure?","શું તમે ખાતરી કરો છો?"
"Bestsellers","
                    શ્રેષ્ઠ વેચનાર
                "
"Compared Products Grid Template","ઉત્પાદનો સરખામણી કરો ગ્રીડ .ાંચો"
"Compared Products List Template","ઉત્પાદનોની સૂચિની તુલના કરો"
"Coupons","કુપન્સ"
"Created At","બનાવ્યું"
"Customer","
                    ગ્રાહક
                "
"Customer Name","ગ્રાહક નું નામ"
"Customers","ગ્રાહકો"
"Dashboard","ડેશબોર્ડ"
"Day","દિવસ"
"Description","વર્ણન"
"Email","
                    ઇમેલ
                "
"First Name","
                    પ્રથમ નામ (તમારું નામ)
                "
"From","થી"
"General","
                    સામાન્ય
                "
"Guest","
                    મહેમાન
                "
"ID","આઇડી"
"Invoiced","ભરતિયું"
"Items in Cart","કાર્ટ માં વસ્તુઓ"
"Last Name","
                    અટક
                "
"List of Products Recently Viewed by Visitor","વપરાશકર્તાઓ દ્વારા તાજેતરમાં જોવાયેલ ઉત્પાદનોની સૂચિ"
"Month","માસ"
"Name","
                    નામ
                "
"No","ના"
"Number of Products to display","પ્રદર્શિત કરવા માટેના ઉત્પાદનોની સંખ્યા"
"Order Status","ઓર્ડર સ્થિતિ"
"Orders","
                    ઓર્ડર
                "
"Out of stock","સ્ટોક સમાપ્ત"
"Price","કિંમત"
"Product Name","ઉત્પાદન નામ"
"Products","ઉત્પાદનો"
"Recently Compared","તાજેતરમાં સરખામણી"
"Recently Compared Products","તાજેતરમાં ઉત્પાદનોની તુલના"
"Recently Viewed","તાજેતરમાં જોવાયેલ"
"Recently Viewed Products","તાજેતરમાં જોવાયેલ ઉત્પાદનો"
"Recently Viewed/Compared Products","તાજેતરમાં જોવાયા / ઉત્પાદનોની તુલના"
"Refunds","રિફંડ્સ"
"Results","પરિણામો"
"Revenue","
                    મહેસૂલ
                "
"Sales","વેચાણ"
"Search Query","શોધ પૂછપરછ"
"Shipping","
                    શિપિંગ
                "
"Shopping Cart","શોપિંગ કાર્ટ"
"Show Actual Values","વાસ્તવિક મૂલ્યો બતાવો"
"Specified","સ્પષ્ટ"
"Subtotal","પેટાસરવાળો"
"Tax","
                    ટેક્સ
                "
"Title","શીર્ષક"
"To","થી"
"Total","
                    કુલ
                "
"Viewed Products Grid Template","જોવાયા ઉત્પાદનો ગ્રીડ .ાંચો"
"Viewed Products List Template","જોવાયેલ ઉત્પાદનોની સૂચિ .ાંચો"
"Year","વર્ષ"
"Yes","હા"
