"* Required Fields","* જરૂરી માહિતી"
"Comment","ટિપ્પણી"
"Contact Form","સંપર્ક ફોર્મ"
"Contact Information","સંપર્ક માહિતી"
"Contact Us","અમારો સંપર્ક કરો"
"Contacts","સંપર્કો"
"Contacts Section","સંપર્કો વિભાગ"
"Email","
                    ઇમેલ
                "
"Email Options","ઇમેઇલ વિકલ્પો"
"Email Sender","ઇમેઇલ પ્રેષક"
"Email Template","ઇમેઇલ ઢાંચો"
"Enable Contact Us","અમારો સંપર્ક સક્ષમ કરો"
"Name","
                    નામ
                "
"Send Emails To","ઇમેઇલ મોકલો"
"Submit","
                    સબમિટ કરો
                "
