"Catalog","કેટલોગ"
"Click for price","ભાવ માટે ક્લિક કરો"
"Customer Order Status Notification","ગ્રાહક ઓર્ડર સ્થિતિ સૂચન"
"Discount","છૂટ"
"Enable RSS","આરએસએસ સક્ષમ કરો"
"From:","પ્રતિ:"
"Gift Message","ભેટ સંદેશ"
"Grand Total","ગ્રાન્ડ કુલ"
"Low Stock Products","નીચા સ્ટોક ઉત્પાદનો"
"Message:","સંદેશ"
"New Orders","નવા આદેશો"
"New Products","નવા ઉત્પાદનો"
"Order","ઓર્ડર"
"Shipping &amp; Handling","શિપિંગ અને amp; હેન્ડલિંગ"
"Special Products","ખાસ ઉત્પાદનો"
"Subtotal","પેટાસરવાળો"
"Tax","
                    ટેક્સ
                "
"To:","ને:"
"Top Level Category","ટોચનું સ્તર કેટેગરી"
