"Actions","ક્રિયાઓ"
"Active","સક્રિય"
"Apply","અરજી કરો"
"Catalog","કેટલોગ"
"Customer Groups","ગ્રાહક જૂથ"
"Default Label","ડિફોલ્ટ લેબલ"
"Description","વર્ણન"
"Discount Amount","ડિસ્કાઉન્ટ રકમ"
"Edit Rule","નિયમ સંપાદિત કરો"
"General Information","સામાન્ય માહિતી"
"ID","આઇડી"
"Inactive","નિષ્ક્રિય"
"NOT LOGGED IN","લૉગ ઇન નથી"
"New Rule","નવો નિયમ"
"No","ના"
"Payment Method","ચુકવણી ની રીત"
"Priority","પ્રાથમિકતા"
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"Shipping Method","શીપીંગ પદ્ધતિ"
"Special Price","ખાસ કિંમત"
"Status","સ્થિતિ"
"Store View Specific Labels","દુકાન વિશિષ્ટ લેબલ્સ જુઓ"
"Subtotal","પેટાસરવાળો"
"This rule no longer exists.","આ નિયમ હવે અસ્તિત્વમાં નથી."
"Total","
                    કુલ
                "
"Website","વેબસાઇટ"
"Websites","વેબસાઇટ્સ"
"Yes","હા"
