"-- Please Select --","
                    -- મહેરબાની કરી, પસંદ કરો --
                "
"Actions","ક્રિયાઓ"
"All","બધા"
"Apply","અરજી કરો"
"CMS","સી.એમ.એસ."
"Categories","શ્રેણીઓ"
"Close","બંધ"
"Continue","ચાલુ રાખો"
"Default Template","મૂળભૂત ઢાંચો"
"Delete","
                    કાઢી નાખો
                "
"Images","છબીઓ"
"Insert Widget","વિજેટ શામેલ કરો"
"Page","પૃષ્ઠ"
"Products","ઉત્પાદનો"
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"Select All","બધા પસંદ કરો"
"Select Visible","દૃશ્યમાન પસંદ કરો"
"Settings","સેટિંગ્સ"
"Sort Order","
                    ક્રમબધ ઓર્ડર
                "
"Template","Templateાંચો"
"Thumbnail","થંબનેલ"
"Type","લખો"
"Unselect All","બધાને અનઇલેક્ટ કરો"
"Unselect Visible","દૃશ્યમાનની પસંદગી દૂર કરો"
"View","જુઓ"
"per page","પૃષ્ઠ દીઠ"
