"Actions","ક્રિયાઓ"
"Active","સક્રિય"
"Apply","અરજી કરો"
"Attribute Set","એટ્રિબ્યુટ સેટ"
"Catalog","કેટલોગ"
"Category","કેટેગરી"
"Customer Groups","ગ્રાહક જૂથ"
"Date From","
                    તારીખ થી
                "
"Description","વર્ણન"
"Discount Amount","ડિસ્કાઉન્ટ રકમ"
"Edit Rule","નિયમ સંપાદિત કરો"
"General Information","સામાન્ય માહિતી"
"ID","આઇડી"
"Inactive","નિષ્ક્રિય"
"New Rule","નવો નિયમ"
"No","ના"
"Priority","પ્રાથમિકતા"
"Save and Continue Edit","સાચવો અને સંપાદિત કરવાનું ચાલુ રાખો"
"Status","સ્થિતિ"
"This rule no longer exists.","આ નિયમ હવે અસ્તિત્વમાં નથી."
"Type","લખો"
"Website","વેબસાઇટ"
"Websites","વેબસાઇટ્સ"
"Yes","હા"
