"Action","ક્રિયા"
"Are you sure you want to delete the selected backup(s)?","શું તમે ખરેખર પસંદ કરેલા બેકઅપને કાઢી નાખવા માંગો છો?"
"Backups","બૅકઅપ્સ"
"Create Backup","બૅકઅપ બનાવો"
"Database","ડેટાબેઝ"
"Database Backup","ડેટાબેઝ બેકઅપ"
"Database and Media","ડેટાબેઝ અને મીડિયા"
"Database and Media Backup","ડેટાબેઝ અને મીડિયા બેકઅપ"
"Download","ડાઉનલોડ કરો"
"Enable Scheduled Backup","શેડ્યૂલ કરેલ બેકઅપ સક્ષમ કરો"
"Frequency","આવર્તન"
"Maintenance Mode","જાળવણી સ્થિતિ"
"Name","
                    નામ
                "
"Rollback","રોલબેક"
"Start Time","પ્રારંભ સમય"
"System","સિસ્ટમ"
"System (excluding Media)","સિસ્ટમ (મીડિયા સિવાય)"
"System Backup","સિસ્ટમ બેકઅપ"
"Time","સમય"
"Type","લખો"
