"(Excl. Tax)","(એક્સ્ક્લે. ટેક્સ)"
"(Incl. Tax)","(કર સહિત)"
"* Required Fields","* જરૂરી માહિતી"
"Add New Address","નવું સરનામું ઉમેરો"
"Add to Cart","સૂચી માં સામેલ કરો"
"Add to Compare","સરખામણી કરો"
"Add to Wishlist","ઈચ્છા ની યાદ I માં ઉમેરવું"
"Address","સરનામું"
"After Adding a Product Redirect to Shopping Cart","શોપિંગ કાર્ટ પર એક ઉત્પાદન પુનઃદિશામાન ઉમેરવા પછી"
"Allow Guest Checkout","અતિથિ ચેકઆઉટને મંજૂરી આપો"
"Apply","અરજી કરો"
"Are you sure you would like to remove this item from the shopping cart?","શું તમે ખરેખર આ આઇટમને શોપિંગ કાર્ટમાંથી દૂર કરવા માંગો છો?"
"Back","પાછું"
"Billing Address","બિલિંગ સરનામું"
"Cancel","રદ કરો"
"Cancel Coupon","કૂપન રદ કરો"
"Change","બદલો"
"Change Billing Address","બિલિંગ સરનામું બદલો"
"Checkout","ચેકઆઉટ"
"Checkout Options","ચેકઆઉટ વિકલ્પો"
"City","શહેર"
"Clear Shopping Cart","સાફ શોપિંગ કાર્ટ"
"Close","બંધ"
"Company","કંપની"
"Confirm Password","પાસવર્ડની પુષ્ટિ કરો"
"Content","સામગ્રી"
"Continue","ચાલુ રાખો"
"Continue Shopping","ખરીદારી ચાલુ રાખો"
"Country","દેશ"
"Customer Information","ગ્રાહક માહિતી"
"Details","વિગતો"
"Disabled","
                    અક્ષમ
                "
"Display Cart Summary","ડિસ્પ્લે કાર્ટ સારાંશ"
"Display item quantities","વસ્તુ જથ્થો પ્રદર્શિત કરો"
"Display number of items in cart","કાર્ટમાં વસ્તુઓની સંખ્યા પ્રદર્શિત કરો"
"Edit","સંપાદિત કરો"
"Edit Address","સરનામું સંપાદિત કરો"
"Edit Your Cart","તમારી કાર્ટ સંપાદિત કરો"
"Edit item parameters","આઇટમ પરિમાણો ફેરફાર કરો"
"Email Address","ઈ - મેઈલ સરનામું"
"Enable Onepage Checkout","ઑનપેજ ચેકઆઉટ સક્ષમ કરો"
"Enabled","સક્ષમ"
"Estimate Shipping and Tax","શિપિંગ અને કર અંદાજ"
"Excl. Tax","કર બાકાત કરીને"
"Fax","ફેક્સ"
"Forgot an Item?","કોઈ આઇટમ ભૂલી ગયા છો?"
"Forgot your password?","તમારો પાસવર્ડ ભૂલી ગયા છો?"
"Gift Message","ભેટ સંદેશ"
"ID","આઇડી"
"Incl. Tax","શામેલ કર"
"Items","
                    વસ્તુઓ
                "
"Load customer quote error","ગ્રાહક ક્વોટ ભૂલ લોડ કરો"
"Login","પ્રવેશ કરો"
"Move to Wishlist","વિશસૂચિમાં ખસેડો"
"My Cart","મારી કાર્ટ"
"My Cart Link","મારી કાર્ટ લિંક"
"New Address","નવું સરનામું"
"No Payment Methods","કોઈ ચુકવણી પદ્ધતિઓ"
"Order #","ઑર્ડર #"
"Password","પાસવર્ડ"
"Payment Failed Email Sender","ચુકવણી નિષ્ફળ ઇમેઇલ પ્રેષક"
"Payment Failed Emails","ચૂકવણી નિષ્ફળ ઇમેઇલ"
"Payment Failed Template","ચુકવણી નિષ્ફળ નમૂનો"
"Payment Information","ચુકવણી માહિતી"
"Payment Method","ચુકવણી ની રીત"
"Place Order","ઓર્ડર કરો"
"Price","કિંમત"
"Proceed to Checkout","ચેકઆઉટ આગળ વધો"
"Product","ઉત્પાદન"
"Product Name","ઉત્પાદન નામ"
"Products","ઉત્પાદનો"
"Qty","ક્યુટી"
"Quantity","જથ્થો"
"Quote Lifetime (days)","ભાવ લાઇફટાઇમ (દિવસો)"
"Remove Item","આઇટમ દૂર કરો"
"Remove This Item","આ વસ્તુ દૂર કરો"
"Remove item","વસ્તુ દૂર કરો"
"SKU","એસકેયુ"
"Sales","વેચાણ"
"Save in address book","એડ્રેસ બુકમાં સેવ કરો"
"See price before order confirmation.","ઓર્ડર પુષ્ટિ પહેલાં ભાવ જુઓ."
"Send Payment Failed Email Copy Method","ચુકવણી નિષ્ફળ ઇમેઇલ નકલ પદ્ધતિ મોકલો"
"Send Payment Failed Email Copy To","ચુકવણી મોકલો નિષ્ફળ ઇમેઇલ નકલ કરો"
"Separate by "","".",""","" દ્વારા અલગ."
"Shipping Address","પહોંચાડવાનું સરનામું"
"Shipping Information","શિપિંગ માહિતી"
"Shipping Method","શીપીંગ પદ્ધતિ"
"Shopping Cart","શોપિંગ કાર્ટ"
"State/Province","રાજ્ય / પ્રાંત"
"Status","સ્થિતિ"
"Store View","દુકાન દૃશ્ય"
"Street Address","શેરીનુ સરનામું"
"Subtotal","પેટાસરવાળો"
"Text","ટેક્સ્ટ"
"Thank you for your purchase!","ખરીદવા માટે આભાર!"
"The product does not exist.","ઉત્પાદન અસ્તિત્વમાં નથી."
"Total","
                    કુલ
                "
"Unit Price","એકમ ભાવ"
"Update","સુધારો"
"Update Cart","સુધારા કાર્ટ"
"Update Shopping Cart","શોપિંગ કાર્ટ અપડેટ કરો"
"VAT Number","વેટ નંબર"
"What's this?","આ શું છે?"
"You have no items in your shopping cart.","તમારી શોપિંગ કાર્ટમાં તમારી પાસે કોઈ આઇટમ્સ નથી."
"Zip/Postal Code","ઝીપ / પોસ્ટલ કોડ"
"or","અથવા"
