"* Required Fields","* જરૂરી માહિતી"
"--Please Select--","--કૃપા કરી પસંદ કરો--"
"Day","દિવસ"
"Enabled","સક્ષમ"
"Incorrect credit card expiration date.","ખોટો ક્રેડિટ કાર્ડ સમાપ્તિ તારીખ."
"Month","માસ"
"N/A","એન / એ"
"New Order Status","નવી ઓર્ડર સ્થિતિ"
"Password","પાસવર્ડ"
"Payment Method","ચુકવણી ની રીત"
"Please enter a valid credit card verification number.","કૃપા કરી કોઈ માન્ય ક્રેડિટ કાર્ડ ચકાસણી નંબર દાખલ કરો."
"Shipping Amount","શિપિંગ રકમ"
"Sort Order","
                    ક્રમબધ ઓર્ડર
                "
"Tax Amount","કર રકમ"
"Title","શીર્ષક"
"Year","વર્ષ"
