"-- Please Select --","
                    -- મહેરબાની કરી, પસંદ કરો --
                "
"1 column","1 કૉલમ"
"2 columns with left bar","ડાબી બાર સાથે 2 સ્તંભો"
"2 columns with right bar","જમણી બાર સાથે 2 કૉલમ"
"3 columns","3 કૉલમ"
"About the calendar","કૅલેન્ડર વિશે"
"Account","ખાતું"
"Close","બંધ"
"Close Window","બારી બંધ કરો"
"Default welcome msg!","મૂળભૂત સ્વાગત સંદેશ!"
"Empty","ખાલી"
"Go Today","આજે જાઓ"
"JavaScript seems to be disabled in your browser.","જાવાસ્ક્રિપ્ટ તમારા બ્રાઉઝરમાં અક્ષમ હોવાનું જણાય છે."
"Menu","મેનુ"
"Next","આગળ"
"Previous","અગાઉના"
"Report All Bugs","બધી બગ્સની જાણ કરો"
"Search","શોધો"
"Show","બતાવો"
"View All","બધુજ જુઓ"
"per page","પૃષ્ઠ દીઠ"
