"* Required Fields","* To'ldirilishi majburiy joylar"
"--Please Select--","--Iltimos tanlang--"
"Card Verification Number","Karta tasdiqlash kodi"
"Credit Card Number","Kredit karta raqami"
"Credit Card Type","Kredit kartasi turi"
"Credit Card Types","Kredit kartasi turlari"
"Currency","Valyuta"
"Enabled","Yoqish"
"Expiration Date","Amal qilish muddati"
"Incorrect credit card expiration date.","Kredit kartasining amal qilish muddati noto'g'ri."
"Maximum Order Total","Maksimal Buyurtma miqdori"
"Merchant ID","Savdo identifikatori"
"Minimum Order Total","Minimal buyurtma miqdori"
"New Order Status","Yangi buyurtma holati"
"Password","Parol"
"Payment Method","To'lov uslubi"
"Payment from Applicable Countries","Qo'llaniladigan mamlakatlar to'lovi"
"Payment from Specific Countries","Muayyan mamlakatlardan to'lov"
"Please enter a valid credit card verification number.","Iltimos joriy kredit karta tasdiqlash raqamini kiriting."
"Sort Order","Saralash tartibi"
"Start Date","Boshlanish vaqti"
"Test Mode","Sinov holati"
"Title","Sarlavha"
"What is this?","Bu nima?"
