"* Required Fields","* To'ldirilishi majburiy joylar"
"Add to Cart","Savatchaga qo'shish"
"Apply","Tasdiqlash"
"Apply Coupon","Kuponni qo'llash"
"Back","Orqaga"
"Billing Address","To'lov manzili"
"Cancel","Bekor qilish"
"Checkout","Tekshirib ko'rmoq"
"City","Shahar"
"Close","Yoping"
"Content","Kontent"
"Country","Mamlakat"
"Details","Batafsil"
"Disabled","O'chirish"
"Edit","Tahrirlash"
"Edit item parameters","Elementni parametrlarini tahrirlash"
"Enabled","Yoqish"
"Excl. Tax","Soliqlarsiz"
"Gift Message","Sovg'a xabarlari"
"Incl. Tax","Soliqlar bilan"
"Items","Mahsulotlar"
"My Cart","Mening savatcham"
"Password","Parol"
"Payment Method","To'lov uslubi"
"Place Order","Buyurtni joylashtirish"
"Please agree to all the terms and conditions before placing the order.","Buyurtmani joylashtirishdan oldin barcha talab va shartlarga rozilik bildiring."
"Price","Narx"
"Product","Mahsulot"
"Product Name","Mahsulot nomi"
"Products","Mahsulotlar"
"Qty","Soni"
"Quantity","Miqdor"
"Remove This Item","Ushbu narsani o'chirish"
"Remove item","Elementni o'chirish"
"See price before order confirmation.","Buyurtmani tasdiqlashdan oldin narxni tekshiring."
"Shipping Address","Yetkazish manzili"
"Shipping Method","Yetkazib berish turi"
"Shopping Cart","Savatcha"
"State/Province","Mamlakat / Viloyat"
"Status","Holat"
"Store View","Do'konning ko'rinishi"
"Street Address","Ko'cha manzili"
"Subtotal","Jami summ"
"The product does not exist.","Mahsulot mavjud emas."
"Total","Jami"
"VAT Number","QQS raqami"
"View Shopping Cart","Savatchani ko'rish"
"What's this?","Bu nima?"
"Zip/Postal Code","Pochta indeksi"
