"-- Please Select --","-- Iltimos tanlang --"
"Actions","Amallar"
"All","Barcha"
"Apply","Tasdiqlash"
"Big Image","Katta rasm"
"Close","Yoping"
"Delete","O‘chirish"
"Export to:","Quyidagiga eksport qilish:"
"Images","Rasmlar"
"Next page","Keyingi sahifa"
"Previous page","Oldingi sahifa"
"Products","Mahsulotlar"
"Save and Continue Edit","Saqlang va tahrirlashni davom ettiring"
"Select All","Hammasini belgilash"
"Select Visible","Ko'rinishni tanlang"
"Settings","Sozlamalar"
"Sort Order","Saralash tartibi"
"The information in this tab has been changed.","Ushbu ichki oynadagi ma'lumot o'zgardi."
"Thumbnail","Kichik rasm"
"Type","Turi"
"Unselect All","Barchasini tanlash"
"Unselect Visible","Tanlanganni olib tashlash"
"per page","bir sahifa uchun"
