"Actions","Amallar"
"Are you sure?","Ishonchingiz komilmi?"
"Date Added","Sana qo'shildi"
"Last Update","Oxirgi yangilash"
"Mark as Read","O'qilgan deb belgilash"
"Message","Xabar"
"Messages Inbox","Kirish xabarlari qutisi"
"Notifications","Bildirishnomalar"
"Please select messages.","Xabarlarni tanlang."
"Read Details","Batafsil ma'lumot"
"Remove","O'chirish"
"Severity","Zo'ravonlik"
"Show List","Ro'yxatni ko'rsatish"
"Show Toolbar","Asboblar panelini ko'rsatish"
"The message has been removed.","Xabar o'chirildi."
"Update Frequency","Chastotani yangilash"
"Use HTTPS to Get Feed","Ovqatni olish uchun HTTPS-dan foydalaning"
"Wrong message type","Noto'g'ri xabar turi"
"critical","juda muhim"
"major","katta"
"minor","kichik"
"notice","ogohlantirish"
