"* Required Fields","* To'ldirilishi majburiy joylar"
"-- Please Select --","-- Iltimos tanlang --"
"Account Information","Profil ma'lumotlari"
"Action","Harakat"
"Actions","Amallar"
"Active","Faol"
"Add Products","Mahsulot qo'shish"
"Add to Cart","Savatchaga qo'shish"
"Amount","Miqdor"
"Apply","Tasdiqlash"
"Apply Coupon Code","Kupon kodini qo'llash"
"Are you sure you want to do this?","Buni xohlayotganingizga aminmisiz?"
"Are you sure?","Ishonchingiz komilmi?"
"Back","Orqaga"
"Bestsellers","Eng ko'p sotilganlar"
"Billing Address","To'lov manzili"
"Cancel","Bekor qilish"
"Canceled","Bekor qilindi"
"City","Shahar"
"Close","Yoping"
"Configure","Konfiguratsiya"
"Country","Mamlakat"
"Create Order","Buyurtma yarating"
"Created At","Yaratildi"
"Customer","Xaridor"
"Delete","O‘chirish"
"Discount","Chegirma"
"Discount Amount","Chegirma miqdori"
"Edit","Tahrirlash"
"Enable","Yoqish"
"Enabled","Yoqish"
"Excl. Tax","Soliqlarsiz"
"First Name","Ism"
"From","-dan"
"From:","Kimdan:"
"General","Asosiy"
"Gift Message","Sovg'a xabarlari"
"Guest","Mehmon"
"Home","Bosh sahifa"
"Incl. Tax","Soliqlar bilan"
"Invoiced","Xarajatlar"
"Item","Buyum"
"Items","Mahsulotlar"
"Last Name","Familiya"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo faqat HTML hujjatlar uchun. Bo'sh bo'lsa, standart qiymatdan foydalaniladi. <br />(jpeg, gif, png)"
"Message","Xabar"
"Message:","Xabar:"
"Name","Ism"
"New Order Status","Yangi buyurtma holati"
"No","Yo'q"
"No ordered items","Buyurtmalar mavjud emas"
"Order","Buyurtma"
"Order History","Buyurtma tarixi"
"Order ID","Buyurtma ID"
"Order Status","Buyurtma holati"
"Ordered","Buyurtma qilingan"
"Orders","Buyurtmalar"
"Payment Method","To'lov uslubi"
"Please enter positive number in this field.","Iltimos, ushbu maydonga ijobiy raqamni kiriting."
"Price","Narx"
"Product","Mahsulot"
"Product Name","Mahsulot nomi"
"Products","Mahsulotlar"
"Qty","Soni"
"Qty Invoiced","Qat'iy miqdori"
"Qty Shipped","Miqdor yuborildi"
"Refresh","Yangilash"
"Refunded","Qaytarildi"
"Remove","O'chirish"
"Remove Coupon Code","Kupon kodini o'chirish"
"Revenue","Daromad"
"Row Subtotal","Umumiy satrlar"
"Row Total","Umumiy satrlar"
"Schedule","Jadval"
"Select All","Hammasini belgilash"
"Shipped","Yuborildi"
"Shipping","Yetkazib berish"
"Shipping Address","Yetkazish manzili"
"Shipping Method","Yetkazib berish turi"
"Shopping Cart","Savatcha"
"Sku","Mahsulot kodi"
"State/Province","Mamlakat / Viloyat"
"Status","Holat"
"Street Address","Ko'cha manzili"
"Subtotal","Jami summ"
"Subtotal:","Qidiruv summasi:"
"Tax","Soliq"
"Title","Sarlavha"
"To","-ga"
"To:","Kimga:"
"Total","Jami"
"Transaction ID","Jurnal ID"
"Transaction Type","Jurnal turi"
"Type","Turi"
"Yes","Ha"
"Zip/Postal Code","Pochta indeksi"
