"-- Please Select --","-- Iltimos tanlang --"
"Add Secret Key to URLs","URL manzillari uchun maxfiy kalitni qo'shing"
"Add Store Code to Urls","Do'kon kodini URLlarga qo'shish"
"Admin User Emails","Administratorning elektron pochtalari"
"Advanced","Murakkab"
"Allow Countries","Davlatlarga ruxsat berish"
"Allow Symlinks","URL larga ruxsat berish"
"Anchor Text for Next","Keyingi uchun matn joylashtiring"
"Anchor Text for Previous","Avvalgi matnni bog'lash"
"Are you sure?","Ishonchingiz komilmi?"
"Auto-redirect to Base URL","Asosiy URL-ga avtomatik yo'naltirish"
"Back","Orqaga"
"Backup Options","Zahira parametrlari"
"CSS Settings","CSS sozlamalari"
"Cache Storage Management","Kesh saqlash boshqaruvi"
"Cancel","Bekor qilish"
"Card type does not match credit card number.","Karta turi kredit karta raqamiga mos kelmadi."
"Code","Kod"
"Country","Mamlakat"
"Create Store","Do'kon yaratish"
"Create Store View","Do'kon ko'rinishini yaratish"
"Create Website","Veb-sayt yaratish"
"Credit card number does not match credit card type.","Kredit karta raqami kredit kartasi turiga mos kelmadi."
"Custom Admin Path","Maxsus boshqarish usuli"
"Custom Admin URL","Maxsus administrator URL manzili"
"Custom Design","Maxsus dizayn"
"Custom Email 1","Maxsus Email 1"
"Custom Email 2","Maxsus Email 2"
"Customer Support","Mijozlarni qo'llab-quvvatlash"
"Dashboard","Boshqaruv paneli"
"Date From","Sanadan boshlab"
"Date To","Sana bo'yicha"
"Debug","Xatolarni tuzatish"
"Default","Standart"
"Default Country","Odatiy Davlat"
"Default No-route URL","Standart No-route URL"
"Default Pages","Standart sahifalar"
"Default Store","Standart do'kon"
"Default Store View","Standart do'konni ko'rish"
"Default Title","Standart nom"
"Default Web URL","Standart veb-manzili"
"Delete","O‘chirish"
"Delete Store","Do'konni o'chirish"
"Delete Store View","Do'konni ko'rinishini o'chirish"
"Design","Dizayn"
"Design Change","Dizayn o'zgarishi"
"Developer","Dasturchi"
"Disable Email Communications","Email aloqalarini o'chirib qo'yish"
"Disable Modules Output","Chiqish modullarini o'chirish"
"Edit Design Change","Dizaynni o'zgartirishni tahrirlash"
"Edit Store","Do'konni tahrirlash"
"Edit Store View","Do'konni ko'rinishini tahrirlash"
"Enable Charts","Grafiklarni yoqish"
"Enabled","Yoqish"
"Enabled for Admin","Administrator uchun yoqilgan"
"European Union Countries","Evropa Ittifoqi mamlakatlari"
"First Day of Week","Haftaning birinchi kuni"
"Flush Cache Storage","Keshni saqlash joyini tozalash"
"Flush OpenMage Cache","OpenMageni keshini tozalang"
"Footer","Pastki qism"
"Forgot Password Email Template","E-mail shablonni parolni unutdingizmi"
"General","Asosiy"
"General Contact","Bosh kontakt"
"General Settings","Umumiy sozlamalar"
"Host","Xost"
"How many links to display at once.","Bir vaqtning o'zida bir nechta URL lar ko'rsatiladi."
"Incorrect credit card expiration date.","Kredit kartasining amal qilish muddati noto'g'ri."
"JavaScript Settings","JavaScript sozlamalari"
"Locale","Mahalliy"
"Locale Options","Mahalliy parametrlar"
"Login is Case Sensitive","Login katta ahamiyatga ega"
"Mail Sending Settings","Pochta yuborish sozlamalari"
