" [deleted]"," [o'chirilgan]"
"* Required Fields","* To'ldirilishi majburiy joylar"
"-- Please Select --","-- Iltimos tanlang --"
"--Please Select--","--Iltimos tanlang--"
"1 Hour","1 Soat"
"12 Hours","12 Soat"
"2 Hours","2 Soat"
"24 Hours","24 Soat"
"6 Hours","6 Soat"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Xato</h1><p>Sahifa topilmadi.</p>"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Ogohlantirish</strong>: Captchani kirishda katta / kichik harflarga e'tibor bering."
"About the calendar","Taqvim haqida"
"Account Information","Profil ma'lumotlari"
"Action","Harakat"
"Actions","Amallar"
"Active","Faol"
"Add New","Yangisini qo'shish"
"Add New Image","Yangi rasm qo'shish"
"Add Products","Mahsulot qo'shish"
"Additional Cache Management","Qo'shimcha keshlarni boshqarish"
"All","Barcha"
"All Cache","Barcha keshlar"
"All Files","Barcha fayllar"
"All Store Views","Barcha do'konlarga tashriflar"
"All Websites","Barcha veb-saytlar"
"Amounts","Miqdor"
"An error occurred while clearing the JavaScript/CSS cache.","JavaScript / CSS keshini tozalashda xatolik yuz berdi."
"An error occurred while clearing the image cache.","Rasm keshini tozalashda xatolik yuz berdi."
"An error occurred while saving account.","Profilni saqlash vaqtida xatolik yuz berdi."
"Any","Har qanday"
"Are you sure you want to do this?","Buni xohlayotganingizga aminmisiz?"
"Attributes","Xususiyatlar"
"Authorize","Ruxsat berish"
"Back","Orqaga"
"Backup","Zaxiralash"
"Backup Name","Zaxiralash nomi"
"Backup options","Zaxira imkoniyatlari"
"Backups","Zaxiralashlar"
"Bestsellers","Eng ko'p sotilganlar"
"Billing Address","To'lov manzili"
"Block Information","Bloklash ma'lumoti"
"Browse Files...","Fayllarni ko'rib chiqish..."
"Cache Control","Keshni boshqarish"
"Cache Management","Keshlarni boshqarish"
"Cache Type","Kesh turi"
"Cancel","Bekor qilish"
"Card Verification Number","Karta tasdiqlash kodi"
"Catalog","Katalog"
"Catalog Rewrites","Katalogni qayta nomlash"
"Checkbox","Belgilar qutisi"
"Clear","Tozalash"
"Close","Yoping"
"Code","Kod"
"Configuration","Konfiguratsiya"
"Country","Mamlakat"
"Create DB Backup","Ma'lumotlar bazasini zaxiralash"
"Created At","Yaratildi"
"Credit Card Number","Kredit karta raqami"
"Credit Card Type","Kredit kartasi turi"
"Currency","Valyuta"
"Current Month","Joriy oy"
"Custom","Boshqa"
"Customer","Xaridor"
"Customer Groups","Xaridor guruhlari"
"Customers","Xaridorlar"
"Dashboard","Boshqaruv paneli"
"Database","Ma'lumotlar bazasi"
"Date Added","Sana qo'shildi"
"Date selector","Sanani tanlang"
"Debug","Xatolarni tuzatish"
"Delete","O‘chirish"
"Delete Store","Do'konni o'chirish"
"Delete Store View","Do'konni ko'rinishini o'chirish"
"Description","Ta'rif"
"Design","Dizayn"
"Details","Batafsil"
"Disable","O'chirish"
"Disabled","O'chirish"
"Download","Yuklab oling"
"Drop-down","Ochiladigan ro'yxat"
"Edit","Tahrirlash"
"Edit Design Change","Dizaynni o'zgartirishni tahrirlash"
"Edit Store View","Do'konni ko'rinishini tahrirlash"
"Enable","Yoqish"
"Enabled","Yoqish"
"Error","Xato"
"Excl. Tax","Soliqlarsiz"
"Exclude media folder from backup","Media papkasini zahiradan chiqarib tashlang"
"Expiration Date","Amal qilish muddati"
"Export","Eksport"
"Export to:","Quyidagiga eksport qilish:"
"FTP Host","FTP server"
"FTP Password","FTP Paroli"
"FTP credentials","FTP sozlamalari"
"Failed","Xatolik"
"File","Fayl"
"First Name","Ism"
"Fixed","Ruxsat etilgan"
"Flush Catalog Images Cache","Rasm keshini tozalash"
