"* Required Fields","* To'ldirilishi majburiy joylar"
"Account Information","Profil ma'lumotlari"
"Action","Harakat"
"Address Book","Manzillar kitobi"
"All","Barcha"
"All Store Views","Barcha do'konlarga tashriflar"
"Amount","Miqdor"
"Are you sure?","Ishonchingiz komilmi?"
"Back","Orqaga"
"Cancel","Bekor qilish"
"City","Shahar"
"Configure","Konfiguratsiya"
"Country","Mamlakat"
"Create Order","Buyurtma yarating"
"Customer","Xaridor"
"Customer Groups","Xaridor guruhlari"
"Customer View","Xaridor ko'rinishi"
"Customers","Xaridorlar"
"Date Added","Sana qo'shildi"
"Delete","O‘chirish"
"Details","Batafsil"
"Disabled","O'chirish"
"Edit","Tahrirlash"
"First Name","Ism"
"Guest","Mehmon"
"Last Name","Familiya"
"Lifetime Sales","Jami savdo"
"My Account","Mening profilim"
"Name","Ism"
"New Customers","Yangi mijozlar"
"New Password","Yangi Parol"
"No item specified.","Hech narsa ko'rsatilmagan."
"Orders","Buyurtmalar"
"Password","Parol"
"Password:","Parol:"
"Please enter a number 1 or greater in this field.","Iltimos, 1 yoki undan ortiq raqamni kiriting."
"Please make sure your passwords match.","Iltimos parollaringiz bilan mos kelishiga ishonch hosil qiling."
"Price","Narx"
"Product","Mahsulot"
"Product Name","Mahsulot nomi"
"Qty","Soni"
"Recovery Link Expiration Period (hours)","Qulaylik aloqasining amal qilish muddati (soat)"
"Refunded","Qaytarildi"
"Remove","O'chirish"
"Save","Saqlash"
"Save and Continue Edit","Saqlang va tahrirlashni davom ettiring"
"Shopping Cart","Savatcha"
"State/Province","Mamlakat / Viloyat"
"Status","Holat"
"Store","Do'kon"
"Store View","Do'konning ko'rinishi"
"Street Address","Ko'cha manzili"
"Submit","Yuborish"
"Total","Jami"
"Type","Turi"
"VAT Number","QQS raqami"
"Zip/Postal Code","Pochta indeksi"
