"* Required Fields","* To'ldirilishi majburiy joylar"
"-- Please Select --","-- Iltimos tanlang --"
"Action","Harakat"
"Add Design Change","Dizaynni o'zgartiring"
"Add New","Yangisini qo'shish"
"Add New Search Term","Yangi qidiruv so'zini qo'shing"
"Add to Cart","Savatchaga qo'shish"
"All","Barcha"
"All Websites","Barcha veb-saytlar"
"Amount","Miqdor"
"Are you sure?","Ishonchingiz komilmi?"
"Attributes","Xususiyatlar"
"Availability:","Mavjudligi:"
"Back","Orqaga"
"Cancel","Bekor qilish"
"Catalog","Katalog"
"Clear All","Hammasini tozalash"
"Custom Design","Maxsus dizayn"
"Delete","O‘chirish"
"Delete Option","Variantni o'chirish"
"Description","Ta'rif"
"Design","Dizayn"
"Details","Batafsil"
"Disabled","O'chirish"
"Edit","Tahrirlash"
"Enabled","Yoqish"
"Exclude","Istisno"
"Failed","Xatolik"
"First Name","Ism"
"Fixed","Ruxsat etilgan"
"Home","Bosh sahifa"
"In stock","Omborda mavjud"
"Incl. Tax","Soliqlar bilan"
"Input Type","Kirish turi"
"Is Default","Standart"
"Last Name","Familiya"
"My Account","Mening profilim"
"Name","Ism"
"Next","Keyingi"
"No","Yo'q"
"No options of this product are available.","Ushbu mahsulotning variantlari mavjud emas."
"None","Yo'q"
"Out of stock","Sotib bo'lingan"
"Please specify the quantity of product(s).","Iltimos, mahsulot (lar) ning miqdorini ko'rsating."
"Please wait...","Iltimos kuting..."
"Position","Obyekt"
"Previous","Avvalgi"
"Price","Narx"
"Price Type","Narx turi"
"Product","Mahsulot"
"Product Name","Mahsulot nomi"
"Products","Mahsulotlar"
"Qty","Soni"
"Quantity","Miqdor"
"Redirect URL","URL yo'naltirish"
"Remove","O'chirish"
"Remove This Item","Ushbu narsani o'chirish"
"Reset","Qayta o'rnatish"
"Results","Natijalar"
"Save","Saqlash"
"Save and Continue Edit","Saqlang va tahrirlashni davom ettiring"
"Search","Qidiruv"
"Search Query","Qidiruv so'rovi"
"See price before order confirmation.","Buyurtmani tasdiqlashdan oldin narxni tekshiring."
"Settings","Sozlamalar"
"Shop By","Onlayn do'kon"
"Shopping Options","Xarid qilish imkoniyatlari"
"Sort Order","Saralash tartibi"
"Status","Holat"
"Store","Do'kon"
"Store View","Do'konning ko'rinishi"
"Tax","Soliq"
"Title","Sarlavha"
"Type","Turi"
"Use Default Value","Standart qiymatdan foydalaning"
"View Details","Batafsil ma'lumot"
"Visibility","Ko'rinishi"
"What's this?","Bu nima?"
"Yes","Ha"
"per page","bir sahifa uchun"
