"* Required Fields","* To'ldirilishi majburiy joylar"
"-- Select --","-- Tanlang --"
"As Low as","Juda kam"
"As low as","Juda kam"
"Checkbox","Belgilar qutisi"
"Choose a selection...","Tanlovni tanlang..."
"Close","Yoping"
"Default","Standart"
"Default Title","Standart nom"
"Drop-down","Ochiladigan ro'yxat"
"Dynamic","Dinamik"
"Excl. Tax","Soliqlarsiz"
"Fixed","Ruxsat etilgan"
"From","-dan"
"From:","Kimdan:"
"Gift Message","Sovg'a xabarlari"
"Incl. Tax","Soliqlar bilan"
"Input Type","Kirish turi"
"Message:","Xabar:"
"Multiple Select","Ko'p tanlov"
"No options of this product are available.","Ushbu mahsulotning variantlari mavjud emas."
"None","Yo'q"
"Percent","Foiz"
"Percent Discount","Foiz stavkasi"
"Please enter a number greater 0 in this field.","Iltimos, ushbu qatorga 0dan katta raqamni kiriting."
"Please specify product option(s).","Mahsulot parametrlarini kiriting."
"Position","Obyekt"
"Price Range","Narxlar oralig'i"
"Price Type","Narx turi"
"Radio Buttons","Radio tugmalari"
"Separately","Alohida"
"Ship Bundle Items","Mahsulot paketini kiriting"
"Store View Title","Do'kon ko'rinishi sarlavhasi"
"To","-ga"
"To:","Kimga:"
"Together","Birgalikda"
"Use Default Value","Standart qiymatdan foydalaning"
