"* Required Fields","* Verplichte velden"
"Add All to Cart","Alles toevoegen aan winkelwagen"
"Add to Cart","In Winkelwagen"
"Add to Compare","Toevoegen om te vergelijken"
"Add to Wishlist","Toevoegen aan verlanglijst"
"Back","Terug"
"Cannot specify product.","Kan product niet specificeren"
"Click for price","Klik voor de prijs"
"Comment","Opmerking"
"Comment:","Opmerking:"
"Date Added","Datum toegevoegd"
"Edit","Bewerken"
"Email Sender","Afzender E-mail"
"Email Template","E-mail template"
"Email addresses, separated by commas","E-mailadressen, gescheiden door komma’s"
"Enabled","Ingeschakeld"
"General Options","Algemene Opties"
"In stock","Op voorraad"
"Last Added Items","Laatst toegevoegde artikelen"
"Message","Bericht"
"Options Details","Optie Details"
"Out of stock","Niet op voorraad"
"Price","prijs"
"Product Details and Comment","Productdetails en opmerkingen"
"Qty","Aantal"
"Remove Item","Product verwijderen"
"Remove This Item","Verwijder dit artikel"
"Remove item","Verwijder dit artikel"
"SKU","Art.nr."
"Share Options","Delen Opties"
"Sharing Information","Informatie delen"
"User Description","Omschrijving gebruiker"
"View Details","Bekijk details"
"View Product","Product bekijken"
"What's this?","Wat is dit?"
"Wishlist","Verlanglijst"
