"ALL GROUPS","VSE SKUPINE"
"Account Information","Informacije raèuna"
"Add New Address","Dodaj nov naslov"
"Add New Customer Group","Dodaj novo skupino kupcev"
"Address","Naslov"
"All Store Views","Vsi pogledi Trgovine"
"All countries","Vse države"
"Are you sure you want to delete this address?","Ste preprièani izbrisati naslov?"
"Back","Nazaj"
"Change Shipping Address","Spremeni naslov dostave"
"City","Mesto"
"Company","Podjetje"
"Confirm Password","Ponovi Geslo"
"Country","Država"
"Customer","Kupec"
"Customer Addresses","Naslov Kupca"
"Customer Group","Skupina Kupca"
"Customer Groups","Skupine kupcev"
"Customers","Kupci"
"Delete","Izbriši"
"Disabled","Izkljuèeno"
"Edit","Uredi"
"Email Address","Email Naslov"
"First Name","Ime"
"Guest","Gost"
"Last Name","Priimek"
"Lifetime Sales","Doživljenjska Prodaja"
"Log In","Prijavi se"
"Log Out","Odjava"
"Login","Vpiši"
"Login Information","Informacije vpisa"
"My Orders","Moja naroèila"
"Name","Ime"
"Never","Nikoli"
"New Customer Address","Nov Naslov kupca"
"New Customers","Novi kupci"
"New Password","Novo geslo"
"Newsletter","Novice"
"Not Sent","Ni poslano"
"Online Customers","Kupci online"
"Orders","Naroèila"
"Password","Geslo"
"Password:","Geslo:"
"Paused","Pavzirano"
"Personal Information","Osebne informacije"
"Price","Cena"
"Product","Artikl"
"Product ID","ID Artikla"
"Product Name","Ime Artikla"
"Qty","Kolièina"
"Save","Shrani"
"Sending","Pošiljam"
"Sent","Poslano"
"Shopping Cart","Nakupovalna košarica"
"State/Province","Provinca/Država"
"Store","Trgovina"
"Store View","Pogled trgovine"
"Street Address","Naslov (ulica)"
"Telephone","Telefon"
"Total","Skupaj"
"Type","Tip"
"View","Pogled"
"View Order","Poglej naroèilo"
"Website","Spletna Stran"
"Wishlist","Seznam želja"
